Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
UBER_112219C31,281:27.01:44941622:0.05:61,329:27.14:41300937:0.05:5,333:26.7:32448063:0.05:100,426:26.71:33124982:0.03:401,827:25.99:27991933:0.01:1,826:26.79:41353173:0.01:0,826:26.75:37309667:0.01:0,826:28.03:52741127:0.01:0,826:29.46:55638958:0.04:157,[960:29.56:44372725:0.05:1
UBER_112219C31.5,921:27.01:44941622:0.05:38,946:27.14:41300937:0.04:11,956:26.7:32448063:0.04:0,956:26.71:33124982:0.04:0,956:25.99:27991933:0.04:0,956:26.79:41353173:0.02:27,983:26.75:37309667:0.02:0,983:28.03:52741127:0.03:7,980:29.46:55638958:0.04:20,[1000:29.56:44372725:0.03:1
UBER_112219C32,502:27.01:44941622:0.05:17,489:27.14:41300937:0.03:12,499:26.7:32448063:0.04:4,495:26.71:33124982:0.04:0,495:25.99:27991933:0.04:0,495:26.79:41353173:0.01:10,487:26.75:37309667:0.01:0,488:28.03:52741127:0.02:0,488:29.46:55638958:0.02:0,[488:29.56:44372725:0.02:0
UBER_112919C22.5,0:27.01:44941622:0.0:0,0:27.14:41300937:0.0:0,0:26.7:32448063:0.0:0,0:26.71:33124982:0.0:0,0:25.99:27991933:0.0:0,0:26.79:41353173:0.0:0,0:26.75:37309667:3.98:2,U:28.03:52741127:U:U,U:29.46:55638958:U:U,1:29.56:44372725:4.5:0
UBER_112919C23,1:27.01:44941622:4.8:0,1:27.14:41300937:4.8:0,1:26.7:32448063:4.8:0,1:26.71:33124982:4.8:0,1:25.99:27991933:4.8:0,1:26.79:41353173:4.8:0,1:26.75:37309667:3.9:18,10:28.03:52741127:3.9:0,10:29.46:55638958:3.9:0,10:29.56:44372725:3.9:0
UBER_112919C23.5,22:27.01:44941622:4.1:0,22:27.14:41300937:4.1:0,22:26.7:32448063:3.5:2,24:26.71:33124982:2.85:2,22:25.99:27991933:2.7:29,31:26.79:41353173:3.0:29,22:26.75:37309667:3.0:0,22:28.03:52741127:3.0:0,22:29.46:55638958:3.0:0,22:29.56:44372725:6.34:1
UBER_112919C24,106:27.01:44941622:3.5:103,105:27.14:41300937:2.75:89,150:26.7:32448063:3.0:11,156:26.71:33124982:2.78:12,156:25.99:27991933:2.78:0,156:26.79:41353173:2.83:75,143:26.75:37309667:3.05:1,144:28.03:52741127:4.04:16,U:29.46:55638958:U:U,158:29.56:44372725:5.48:26
UBER_112919C24.5,58:27.01:44941622:3.09:0,58:27.14:41300937:2.5:39,95:26.7:32448063:2.5:0,95:26.71:33124982:2.1:5,95:25.99:27991933:2.05:21,95:26.79:41353173:2.39:65,61:26.75:37309667:2.4:10,61:28.03:52741127:3.5:1,61:29.46:55638958:3.5:0,61:29.56:44372725:3.5:0
UBER_112919C25,41:27.01:44941622:2.75:22,39:27.14:41300937:2.35:74,113:26.7:32448063:2.73:1,114:26.71:33124982:1.94:14,128:25.99:27991933:1.47:144,177:26.79:41353173:1.99:88,164:26.75:37309667:2.0:2,166:28.03:52741127:3.04:34,167:29.46:55638958:4.38:13,[164:29.56:44372725:4.8:11
UBER_112919C25.5,65:27.01:44941622:2.25:32,59:27.14:41300937:1.8:7,59:26.7:32448063:1.75:11,59:26.71:33124982:1.35:10,63:25.99:27991933:1.16:8,67:26.79:41353173:1.6:144,195:26.75:37309667:1.6:205,171:28.03:52741127:2.5:60,129:29.46:55638958:3.9:11,[122:29.56:44372725:4.07:4
UBER_112919C26,160:27.01:44941622:1.88:12,158:27.14:41300937:1.65:343,299:26.7:32448063:1.5:65,271:26.71:33124982:1.3:65,301:25.99:27991933:0.84:484,605:26.79:41353173:1.25:531,665:26.75:37309667:1.2:170,934:28.03:52741127:2.25:368,934:29.46:55638958:3.5:260,[817:29.56:44372725:3.8:12
UBER_112919C26.5,16:27.01:44941622:1.58:3,16:27.14:41300937:1.3:46,50:26.7:32448063:1.1:19,48:26.71:33124982:1.03:120,142:25.99:27991933:0.6:138,174:26.79:41353173:0.95:186,246:26.75:37309667:0.94:253,252:28.03:52741127:1.9:140,237:29.46:55638958:2.95:57,[229:29.56:44372725:3.11:22
