Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
ON_122019P27,0:21.71,0:21.79,0:21.51,0:21.54:3489103:6.25:0,0:21.63:2639702:6.25:0,0:21.5:2149963:6.25:0,0:21.69:4257081:6.25:0,0:21.54:3112853:6.25:0,0:21.48:2410991:6.25:0,0:21.79:4792295:6.25:0,0:21.135:3350592:6.25:0,0:20.77:3115679:6.25:0,0:20.77:3092431:6.25:0,[0:20.81:2351796:6.25:0
ON_011720P12,U,U,U,U,U,U,U,U,100:21.48:2410991:0.25:0,100:21.79:4792295:0.25:0,100:21.135:3350592:0.25:0,100:20.77:3115679:0.25:0,100:20.77:3092431:0.25:0,[100:20.81:2351796:0.25:0
ON_011720P13,U,U,U,U,U,U,U,U,183:21.48:2410991:0.49:0,183:21.79:4792295:0.49:0,183:21.135:3350592:0.49:0,183:20.77:3115679:0.49:0,183:20.77:3092431:0.49:0,[183:20.81:2351796:0.49:0
ON_011720P14,U,U,U,U,U,U,U,U,650:21.48:2410991:0.22:0,650:21.79:4792295:0.22:0,650:21.135:3350592:0.22:0,650:20.77:3115679:0.22:0,650:20.77:3092431:0.22:0,[650:20.81:2351796:0.22:0
ON_011720P15,U,U,U,U,U,U,U,U,1055:21.48:2410991:0.07:0,1055:21.79:4792295:0.07:0,1055:21.135:3350592:0.07:0,1055:20.77:3115679:0.07:0,1055:20.77:3092431:0.07:0,[1055:20.81:2351796:0.07:0
ON_011720P16,U,U,U,U,U,U,U,U,208:21.48:2410991:0.45:0,208:21.79:4792295:0.45:0,208:21.135:3350592:0.45:0,208:20.77:3115679:0.45:0,208:20.77:3092431:0.45:0,[208:20.81:2351796:0.45:0
ON_011720P17,U,U,U,U,U,U,U,U,850:21.48:2410991:0.2:0,850:21.79:4792295:0.2:0,850:21.135:3350592:0.2:0,850:20.77:3115679:0.2:0,850:20.77:3092431:0.2:0,[850:20.81:2351796:0.2:0
ON_011720P18,U,U,U,U,U,U,U,U,323:21.48:2410991:0.25:0,323:21.79:4792295:0.25:0,323:21.135:3350592:0.25:0,323:20.77:3115679:0.25:0,323:20.77:3092431:0.25:0,[323:20.81:2351796:0.25:1
ON_011720P19,U,U,U,U,U,U,U,U,1067:21.48:2410991:0.37:0,1067:21.79:4792295:0.37:0,1067:21.135:3350592:0.4:842,1642:20.77:3115679:0.4:0,1642:20.77:3092431:0.4:0,[1642:20.81:2351796:0.4:0
ON_011720P20,U,U,U,U,U,U,U,U,2184:21.48:2410991:0.65:1,2183:21.79:4792295:0.65:0,2183:21.135:3350592:0.65:1,2173:20.77:3115679:0.75:10,2178:20.77:3092431:0.79:3,[2178:20.81:2351796:0.71:29
