Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
APH_122019P130,0:104.2,0:104.41,0:102.89,0:102.53:1031772:0.0:0,0:102.7:790191:0.0:0,0:102.17:610144:0.0:0,0:101.45:530480:0.0:0,0:101.67:664557:0.0:0,0:101.1:775521:0.0:0,0:102.25:1029330:0.0:0,0:102.45:1429628:0.0:0,0:103.26:813347:0.0:0,0:102.19:430159:0.0:0,0:101.78:865714:0.0:0,[0:101.74:656464:0.0:0
APH_122019P135,0:104.2,0:104.41,0:102.89,0:102.53:1031772:0.0:0,0:102.7:790191:0.0:0,0:102.17:610144:0.0:0,0:101.45:530480:0.0:0,0:101.67:664557:0.0:0,0:101.1:775521:0.0:0,0:102.25:1029330:0.0:0,0:102.45:1429628:0.0:0,0:103.26:813347:0.0:0,0:102.19:430159:0.0:0,0:101.78:865714:0.0:0,[0:101.74:656464:0.0:0
APH_122019P140,0:104.2,0:104.41,0:102.89,0:102.53:1031772:0.0:0,0:102.7:790191:0.0:0,0:102.17:610144:0.0:0,0:101.45:530480:0.0:0,0:101.67:664557:0.0:0,0:101.1:775521:0.0:0,0:102.25:1029330:0.0:0,0:102.45:1429628:0.0:0,0:103.26:813347:0.0:0,0:102.19:430159:0.0:0,0:101.78:865714:0.0:0,[0:101.74:656464:0.0:0
APH_011720P100,U,U,U,U,U,U,U,U,97:101.1:775521:3.8:0,97:102.25:1029330:3.8:0,97:102.45:1429628:3.8:0,97:103.26:813347:3.8:0,97:102.19:430159:3.8:0,97:101.78:865714:3.8:0,[97:101.74:656464:2.28:5
APH_011720P105,U,U,U,U,U,U,U,U,38:101.1:775521:5.4:0,38:102.25:1029330:5.4:0,38:102.45:1429628:4.54:5,38:103.26:813347:4.54:0,38:102.19:430159:4.54:0,38:101.78:865714:5.01:4,[40:101.74:656464:5.01:0
APH_011720P110,U,U,U,U,U,U,U,U,10:101.1:775521:7.33:0,10:102.25:1029330:7.33:0,10:102.45:1429628:7.33:0,10:103.26:813347:7.33:0,10:102.19:430159:7.33:0,10:101.78:865714:7.33:0,[10:101.74:656464:7.33:0
APH_011720P115,U,U,U,U,U,U,U,U,0:101.1:775521:0.0:0,0:102.25:1029330:0.0:0,0:102.45:1429628:0.0:0,0:103.26:813347:0.0:0,0:102.19:430159:0.0:0,0:101.78:865714:0.0:0,[0:101.74:656464:0.0:0
APH_011720P120,U,U,U,U,U,U,U,U,0:101.1:775521:22.4:0,0:102.25:1029330:22.4:0,0:102.45:1429628:22.4:0,0:103.26:813347:22.4:0,0:102.19:430159:22.4:0,0:101.78:865714:22.4:0,[0:101.74:656464:22.4:0
APH_011720P125,U,U,U,U,U,U,U,U,0:101.1:775521:0.0:0,0:102.25:1029330:0.0:0,0:102.45:1429628:0.0:0,0:103.26:813347:0.0:0,0:102.19:430159:0.0:0,0:101.78:865714:0.0:0,[0:101.74:656464:0.0:0
APH_011720P130,U,U,U,U,U,U,U,U,0:101.1:775521:32.2:0,0:102.25:1029330:32.2:0,0:102.45:1429628:32.2:0,0:103.26:813347:32.2:0,0:102.19:430159:32.2:0,0:101.78:865714:32.2:0,[0:101.74:656464:32.2:0
APH_011720P135,U,U,U,U,U,U,U,U,0:101.1:775521:0.0:0,0:102.25:1029330:0.0:0,0:102.45:1429628:0.0:0,0:103.26:813347:0.0:0,0:102.19:430159:0.0:0,0:101.78:865714:0.0:0,[0:101.74:656464:0.0:0
APH_011720P55,U,U,U,U,U,U,U,U,0:101.1:775521:0.0:0,0:102.25:1029330:0.0:0,0:102.45:1429628:0.0:0,0:103.26:813347:0.0:0,0:102.19:430159:0.0:0,0:101.78:865714:0.0:0,[0:101.74:656464:0.0:0
APH_011720P60,U,U,U,U,U,U,U,U,2:101.1:775521:0.1:0,2:102.25:1029330:0.1:0,2:102.45:1429628:0.1:0,2:103.26:813347:0.1:0,2:102.19:430159:0.1:0,2:101.78:865714:0.1:0,[2:101.74:656464:0.1:0
APH_011720P65,U,U,U,U,U,U,U,U,0:101.1:775521:0.3:0,0:102.25:1029330:0.3:0,0:102.45:1429628:0.3:0,0:103.26:813347:0.3:0,0:102.19:430159:0.3:0,0:101.78:865714:0.3:0,[0:101.74:656464:0.3:0
APH_011720P70,U,U,U,U,U,U,U,U,68:101.1:775521:0.15:0,68:102.25:1029330:0.15:0,68:102.45:1429628:0.15:0,68:103.26:813347:0.15:0,68:102.19:430159:0.15:0,68:101.78:865714:0.15:0,[68:101.74:656464:0.15:0
APH_011720P75,U,U,U,U,U,U,U,U,57:101.1:775521:0.21:0,57:102.25:1029330:0.21:0,57:102.45:1429628:0.21:0,57:103.26:813347:0.21:0,57:102.19:430159:0.21:0,57:101.78:865714:0.21:0,[57:101.74:656464:0.21:0
APH_011720P80,U,U,U,U,U,U,U,U,107:101.1:775521:0.14:0,107:102.25:1029330:0.14:0,107:102.45:1429628:0.14:0,107:103.26:813347:0.14:0,107:102.19:430159:0.14:0,107:101.78:865714:0.14:0,[107:101.74:656464:0.14:0
APH_011720P85,U,U,U,U,U,U,U,U,146:101.1:775521:0.65:0,146:102.25:1029330:0.65:0,146:102.45:1429628:0.65:0,146:103.26:813347:0.65:0,146:102.19:430159:0.65:0,146:101.78:865714:0.65:0,[146:101.74:656464:0.3:10
APH_011720P90,U,U,U,U,U,U,U,U,127:101.1:775521:0.72:0,127:102.25:1029330:0.6:2,129:102.45:1429628:0.6:0,129:103.26:813347:0.6:0,129:102.19:430159:0.6:0,129:101.78:865714:0.6:0,[129:101.74:656464:0.53:10
APH_011720P95,U,U,U,U,U,U,U,U,477:101.1:775521:2.15:0,477:102.25:1029330:2.15:0,477:102.45:1429628:2.15:0,477:103.26:813347:2.15:0,477:102.19:430159:2.15:0,477:101.78:865714:2.15:0,[477:101.74:656464:2.15:0
