Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
SWKS_112219C109,0:98.48,0:98.72,0:98.16,0:98.64:1476697:0.0:0,0:100.44:1733122:0.79:1,1:100.38:1492618:0.72:21,21:101.59:4126748:1.25:177,163:101.14:7339110:0.1:65,134:98.75:2588345:0.05:1,135:99.42:2686047:0.05:2,135:60.09:2713989:0.01:1,134:96.04:2078849:0.01:0,U:96.41:1478516:U:U,134:97.84:1766997:0.01:0
SWKS_112219C110,0:98.48,3:98.72,13:98.16,13:98.64:1476697:0.3:11,16:100.44:1733122:0.5:17,33:100.38:1492618:0.6:121,149:101.59:4126748:1.1:1867,1867:101.14:7339110:0.04:191,1992:98.75:2588345:0.02:50,2014:99.42:2686047:0.02:13,U:60.09:2713989::,U:96.04:2078849:U:U,2001:96.41:1478516:0.02:0,2001:97.84:1766997:0.01:3
SWKS_112219C111,0:98.48,0:98.72,0:98.16,0:98.64:1476697:0.0:0,0:100.44:1733122:0.49:2,2:100.38:1492618:0.5:64,64:101.59:4126748:0.76:127,167:101.14:7339110:0.06:7,165:98.75:2588345:0.06:0,165:99.42:2686047:0.06:0,U:60.09:2713989::,165:96.04:2078849:0.06:0,U:96.41:1478516:U:U,165:97.84:1766997:0.05:1
SWKS_112219C112,0:98.48,0:98.72,30:98.16,45:98.64:1476697:0.18:0,45:100.44:1733122:0.33:100,145:100.38:1492618:0.4:221,327:101.59:4126748:0.75:282,513:101.14:7339110:0.05:56,495:98.75:2588345:0.02:16,488:99.42:2686047:0.02:0,488:60.09:2713989:0.02:0,U:96.04:2078849:U:U,488:96.41:1478516:0.02:0,488:97.84:1766997:0.02:0
SWKS_112219C113,0:98.48,0:98.72,0:98.16,0:98.64:1476697:0.0:0,0:100.44:1733122:0.0:0,0:100.38:1492618:0.3:15,15:101.59:4126748:0.6:88,77:101.14:7339110:0.6:0,77:98.75:2588345:0.6:0,77:99.42:2686047:0.6:0,77:60.09:2713989:0.6:0,77:96.04:2078849:0.6:0,77:96.41:1478516:0.6:0,77:97.84:1766997:0.6:0
SWKS_112919C91.5,8:98.48,8:98.72,8:98.16,20:98.64:1476697:7.8:0,20:100.44:1733122:7.8:0,20:100.38:1492618:7.8:0,20:101.59:4126748:10.5:7,20:101.14:7339110:10.5:0,20:98.75:2588345:10.5:0,20:99.42:2686047:10.5:0,U:60.09:2713989::,20:96.04:2078849:10.5:0,20:96.41:1478516:5.3:1,20:97.84:1766997:5.3:0
SWKS_112919C92,25:98.48,25:98.72,25:98.16,25:98.64:1476697:6.6:0,25:100.44:1733122:8.83:2,24:100.38:1492618:8.83:0,24:101.59:4126748:11.1:1,24:101.14:7339110:11.1:0,24:98.75:2588345:11.1:0,24:99.42:2686047:11.1:0,24:60.09:2713989:11.1:0,24:96.04:2078849:11.1:0,24:96.41:1478516:11.1:0,24:97.84:1766997:11.1:0
SWKS_112919C92.5,91:98.48,91:98.72,89:98.16,89:98.64:1476697:8.01:0,89:100.44:1733122:8.01:0,89:100.38:1492618:8.01:0,89:101.59:4126748:9.4:6,89:101.14:7339110:7.71:2,89:98.75:2588345:6.83:1,89:99.42:2686047:6.83:0,89:60.09:2713989:6.83:0,89:96.04:2078849:4.9:1,90:96.41:1478516:4.9:0,90:97.84:1766997:4.9:0
SWKS_112919C93.5,7:98.48,7:98.72,7:98.16,7:98.64:1476697:2.3:0,7:100.44:1733122:2.3:0,7:100.38:1492618:2.3:0,7:101.59:4126748:2.3:0,7:101.14:7339110:2.3:0,7:98.75:2588345:2.3:0,7:99.42:2686047:2.3:0,U:60.09:2713989::,7:96.04:2078849:2.3:0,7:96.41:1478516:2.3:0,[7:97.84:1766997:2.3:0
SWKS_112919C94,19:98.48,19:98.72,19:98.16,26:98.64:1476697:6.3:1,28:100.44:1733122:8.05:12,40:100.38:1492618:8.05:0,40:101.59:4126748:8.05:0,40:101.14:7339110:5.96:2,40:98.75:2588345:5.96:0,40:99.42:2686047:5.96:0,40:60.09:2713989:5.96:0,41:96.04:2078849:3.0:0,41:96.41:1478516:3.0:0,[41:97.84:1766997:3.0:0
