Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120
CRM_112919C145,976:161.11:3265029:15.25:2,976:161.78:3536960:16.75:10,984:162.86:3697018:18.05:3,984:162.6:5383958:17.66:1,985:163.05:3705452:17.66:0,985:163.21:3653186:17.66:0,985:162.77:5557347:17.82:1,986:163.96:4950800:17.82:0,986:300.72:1153529:17.82:0
CRM_112919C146,19:161.11:3265029:12.77:0,19:161.78:3536960:15.45:1,18:162.86:3697018:15.45:0,18:162.6:5383958:15.45:0,18:163.05:3705452:15.45:0,18:163.21:3653186:15.45:0,18:162.77:5557347:15.45:0,18:163.96:4950800:15.45:0,18:300.72:1153529:15.45:0
CRM_112919C147,609:161.11:3265029:14.47:1,608:161.78:3536960:14.47:0,608:162.86:3697018:14.47:0,608:162.6:5383958:17.5:10,608:163.05:3705452:17.5:0,608:163.21:3653186:17.5:0,608:162.77:5557347:17.5:0,608:163.96:4950800:17.5:0,608:300.72:1153529:18.0:1
CRM_112919C148,337:161.11:3265029:12.35:4,338:161.78:3536960:13.68:5,338:162.86:3697018:15.85:6,334:162.6:5383958:15.85:0,334:163.05:3705452:15.4:10,325:163.21:3653186:15.4:0,325:162.77:5557347:15.4:0,325:163.96:4950800:15.4:0,U:300.72:1153529:U:U
CRM_112919C149,125:161.11:3265029:11.45:19,131:161.78:3536960:11.45:0,131:162.86:3697018:11.45:0,131:162.6:5383958:11.45:0,131:163.05:3705452:11.45:0,131:163.21:3653186:13.87:4,135:162.77:5557347:13.5:51,134:163.96:4950800:13.9:50,118:300.72:1153529:13.9:0
CRM_112919C150,966:161.11:3265029:10.74:2,965:161.78:3536960:12.62:18,970:162.86:3697018:13.59:8,965:162.6:5383958:13.15:7,965:163.05:3705452:13.48:1,965:163.21:3653186:13.3:23,967:162.77:5557347:12.45:1,966:163.96:4950800:14.42:15,954:300.72:1153529:14.11:15
CRM_112919C152.5,1820:161.11:3265029:8.9:6,1814:161.78:3536960:10.64:5,1809:162.86:3697018:11.15:10,1813:162.6:5383958:10.54:6,1815:163.05:3705452:11.25:11,1820:163.21:3653186:11.19:14,1819:162.77:5557347:11.19:0,1819:163.96:4950800:11.87:1,U:300.72:1153529:U:U
CRM_112919C155,464:161.11:3265029:7.25:8,459:161.78:3536960:8.05:48,419:162.86:3697018:9.47:7,412:162.6:5383958:8.75:7,416:163.05:3705452:8.96:4,419:163.21:3653186:8.35:32,444:162.77:5557347:8.8:27,443:163.96:4950800:9.76:64,440:300.72:1153529:8.72:35
CRM_112919C157.5,237:161.11:3265029:5.96:63,250:161.78:3536960:6.19:10,246:162.86:3697018:6.95:55,228:162.6:5383958:6.95:0,228:163.05:3705452:7.0:8,228:163.21:3653186:6.07:15,234:162.77:5557347:6.65:47,224:163.96:4950800:7.6:24,231:300.72:1153529:7.02:19
CRM_112919C160,449:161.11:3265029:4.42:217,488:161.78:3536960:4.8:39,479:162.86:3697018:5.32:26,471:162.6:5383958:4.99:26,476:163.05:3705452:4.9:166,526:163.21:3653186:4.65:209,478:162.77:5557347:4.79:228,579:163.96:4950800:5.58:171,606:300.72:1153529:4.95:169
CRM_112919C162.5,3318:161.11:3265029:3.2:3723,2031:161.78:3536960:3.22:160,2076:162.86:3697018:3.3:271,2071:162.6:5383958:3.65:93,2071:163.05:3705452:3.53:75,2043:163.21:3653186:3.05:149,2145:162.77:5557347:3.3:530,2296:163.96:4950800:4.0:147,2295:300.72:1153529:3.1:357
CRM_112919C165,387:161.11:3265029:2.13:118,450:161.78:3536960:2.3:52,482:162.86:3697018:2.17:83,504:162.6:5383958:2.27:136,550:163.05:3705452:2.31:119,607:163.21:3653186:1.79:76,632:162.77:5557347:2.15:560,869:163.96:4950800:2.63:453,1117:300.72:1153529:1.79:1806
CRM_112919C167.5,422:161.11:3265029:1.36:39,428:161.78:3536960:1.54:50,432:162.86:3697018:1.36:50,449:162.6:5383958:1.5:23,456:163.05:3705452:1.38:94,461:163.21:3653186:1.13:141,541:162.77:5557347:1.24:414,675:163.96:4950800:1.52:352,829:300.72:1153529:0.88:949
CRM_112919C170,309:161.11:3265029:0.85:65,312:161.78:3536960:0.96:52,319:162.86:3697018:0.9:211,462:162.6:5383958:0.8:57,458:163.05:3705452:0.77:44,485:163.21:3653186:0.62:23,494:162.77:5557347:0.73:152,554:163.96:4950800:0.85:208,638:300.72:1153529:0.42:601
CRM_112919C172.5,3255:161.11:3265029:0.49:3318,1583:161.78:3536960:0.51:50,1567:162.86:3697018:0.51:42,1560:162.6:5383958:0.45:36,1556:163.05:3705452:0.39:35,1577:163.21:3653186:0.27:34,1597:162.77:5557347:0.46:89,1606:163.96:4950800:0.47:149,1702:300.72:1153529:0.13:339
CRM_112919C175,79:161.11:3265029:0.27:15,94:161.78:3536960:0.31:46,96:162.86:3697018:0.42:1,97:162.6:5383958:0.32:10,102:163.05:3705452:0.23:7,102:163.21:3653186:0.15:103,202:162.77:5557347:0.22:23,219:163.96:4950800:0.22:6,222:300.72:1153529:0.05:32
CRM_112919C177.5,1:161.11:3265029:0.45:0,1:161.78:3536960:0.45:0,1:162.86:3697018:0.17:73,74:162.6:5383958:0.13:5,79:163.05:3705452:0.13:0,79:163.21:3653186:0.09:8,87:162.77:5557347:0.11:6,90:163.96:4950800:0.12:68,U:300.72:1153529:U:U:300.72:1153529:U:U
CRM_112919C180,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.1:10,10:163.05:3705452:0.11:1,11:163.21:3653186:0.11:0,11:162.77:5557347:0.05:19,30:163.96:4950800:0.05:0,30:300.72:1153529:0.03:2
CRM_112919C182.5,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:0.0:0,0:162.77:5557347:0.09:1,1:163.96:4950800:0.09:0,1:300.72:1153529:0.09:0
CRM_112919C185,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.06:281,281:162.6:5383958:0.03:15,296:163.05:3705452:0.03:0,296:163.21:3653186:0.03:0,296:162.77:5557347:0.01:3,296:163.96:4950800:0.03:1,297:300.72:1153529:0.03:0
CRM_120619C145,1:161.11:3265029:8.4:0,1:161.78:3536960:8.4:0,1:162.86:3697018:8.4:0,1:162.6:5383958:8.4:0,1:163.05:3705452:8.4:0,1:163.21:3653186:8.4:0,1:162.77:5557347:8.4:0,1:163.96:4950800:8.4:0,1:300.72:1153529:8.4:0
CRM_120619C146,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:0.0:0,0:162.77:5557347:0.0:0,0:163.96:4950800:0.0:0,0:300.72:1153529:0.0:0
CRM_120619C147,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:0.0:0,0:162.77:5557347:0.0:0,0:163.96:4950800:0.0:0,U:300.72:1153529:U:U
CRM_120619C148,16:161.11:3265029:13.35:5,16:161.78:3536960:13.35:0,16:162.86:3697018:13.35:0,16:162.6:5383958:13.35:0,16:163.05:3705452:13.35:0,16:163.21:3653186:13.35:0,16:162.77:5557347:13.35:0,16:163.96:4950800:13.35:0,16:300.72:1153529:16.73:2
CRM_120619C149,1:161.11:3265029:9.7:0,1:161.78:3536960:9.7:0,1:162.86:3697018:14.45:4,5:162.6:5383958:16.45:2,5:163.05:3705452:16.45:0,5:163.21:3653186:16.45:0,5:162.77:5557347:16.45:0,5:163.96:4950800:16.45:0,U:300.72:1153529:.8:2
CRM_120619C150,6:161.11:3265029:10.92:0,6:161.78:3536960:13.06:2,8:162.86:3697018:14.25:1,8:162.6:5383958:14.25:0,8:163.05:3705452:14.25:0,8:163.21:3653186:13.9:2,10:162.77:5557347:13.88:1,10:163.96:4950800:15.29:52,55:300.72:1153529:16.31:51
CRM_120619C152.5,32:161.11:3265029:10.9:2,31:161.78:3536960:11.35:5,31:162.86:3697018:12.25:5,31:162.6:5383958:12.25:0,31:163.05:3705452:11.85:5,31:163.21:3653186:11.6:4,32:162.77:5557347:11.97:3,31:163.96:4950800:11.25:1,30:300.72:1153529:14.25:14
CRM_120619C155,213:161.11:3265029:9.14:1,213:161.78:3536960:9.14:0,213:162.86:3697018:10.85:4,210:162.6:5383958:11.12:5,206:163.05:3705452:11.12:0,206:163.21:3653186:9.85:102,238:162.77:5557347:9.9:5,241:163.96:4950800:11.1:57,U:300.72:1153529:U:U
CRM_120619C157.5,335:161.11:3265029:7.49:144,430:161.78:3536960:8.1:84,480:162.86:3697018:8.89:4,484:162.6:5383958:8.47:105,417:163.05:3705452:8.36:12,416:163.21:3653186:8.15:6,417:162.77:5557347:8.1:64,389:163.96:4950800:9.3:95,348:300.72:1153529:9.15:8
CRM_120619C160,300:161.11:3265029:6.17:335,426:161.78:3536960:6.19:66,447:162.86:3697018:6.4:88,452:162.6:5383958:6.5:79,465:163.05:3705452:6.65:50,467:163.21:3653186:6.31:77,503:162.77:5557347:6.49:102,581:163.96:4950800:7.45:30,558:300.72:1153529:6.9:60
CRM_120619C162.5,506:161.11:3265029:4.77:148,497:161.78:3536960:4.88:81,525:162.86:3697018:5.35:120,600:162.6:5383958:5.25:174,632:163.05:3705452:5.2:27,640:163.21:3653186:5.0:196,778:162.77:5557347:5.11:196,867:163.96:4950800:6.0:203,925:300.72:1153529:5.55:249
