Symbol,20191023,20191024,20191025,20191028,20191029,20191030,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
ROKU_112219C131,21.0,22:131.22,117:133.74,35:146.88,29:147.24,30:149.7397,34.0,34:140.51,31:139.57,32:141.05,42:118.46:52644159:2.35:104,93:121.94:19173380:2.18:68,132:129.21:20638338:4.41:77,110:135.35:24213386:7.6:148,132:142.37:20539499:12.95:44,112:148.7:26177439:19.17:27,102:157.3:26521332:26.65:36,108:160.12:27647305:31.65:41,100:158.93:25639047:28.8:3,U:155.91:21562539:U:U,122:158.75:14819880:28.05:43
ROKU_112219C132,28.0,28:131.22,15:133.74,36:146.88,36:147.24,35:149.6701,39.0,39:140.51,39:139.57,40:141.05,51:118.46:52644159:2.21:211,117:121.94:19173380:1.93:95,122:129.21:20638338:4.05:160,160:135.35:24213386:7.05:1020,299:142.37:20539499:12.15:128,269:148.7:26177439:17.57:53,255:157.3:26521332:25.83:26,254:160.12:27647305:28.6:42,U:158.93:25639047:U:U,226:155.91:21562539:24.65:55,U:158.75:14819880:.1:6
ROKU_112219C133,12.0,11:131.22,22:133.74,13:146.88,13:147.24,13:149.6701,19.0,19:140.51,18:139.57,18:141.05,15:118.46:52644159:2.01:114,57:121.94:19173380:1.74:60,101:129.21:20638338:3.62:133,114:135.35:24213386:6.37:582,202:142.37:20539499:11.3:323,196:148.7:26177439:16.92:93,168:157.3:26521332:24.84:48,U:160.12:27647305::,102:158.93:25639047:24.95:46,104:155.91:21562539:23.75:43,115:158.75:14819880:25.8:69
ROKU_112219C134,19.0,21:131.22,38:133.74,19:146.88,23:147.24,23:149.6701,23.0,24:140.51,24:139.57,24:141.05,24:118.46:52644159:1.89:59,52:121.94:19173380:1.55:32,74:129.21:20638338:3.15:238,151:135.35:24213386:5.85:964,391:142.37:20539499:10.22:461,360:148.7:26177439:16.0:97,344:157.3:26521332:23.73:133,U:160.12:27647305::,265:158.93:25639047:21.0:0,265:155.91:21562539:22.45:33,273:158.75:14819880:24.15:29
ROKU_112219C135,97.0,100:131.22,77:133.74,127:146.88,115:147.24,111:149.76,121.0,121:140.51,123:139.57,124:141.05,124:118.46:52644159:1.61:325,214:121.94:19173380:1.43:263,268:129.21:20638338:2.95:414,434:135.35:24213386:5.34:1958,798:142.37:20539499:9.8:2303,807:148.7:26177439:15.2:423,693:157.3:26521332:22.85:227,U:160.12:27647305::,470:158.93:25639047:24.02:84,435:155.91:21562539:22.95:74,431:158.75:14819880:23.75:217
ROKU_112219C136,117.0,117:131.22,64:133.74,115:146.88,112:147.24,112:149.76,152.0,152:140.51,156:139.57,157:141.05,159:118.46:52644159:1.54:75,185:121.94:19173380:1.24:31,192:129.21:20638338:2.5:600,408:135.35:24213386:4.85:644,568:142.37:20539499:9.1:1468,757:148.7:26177439:14.3:324,774:157.3:26521332:22.1:173,728:160.12:27647305:24.5:129,703:158.93:25639047:22.5:48,669:155.91:21562539:20.45:58,672:158.75:14819880:22.77:99
ROKU_112219C137,3.0,14:131.22,10:133.74,14:146.88,13:147.24,46:149.7899,13.0,13:140.51,16:139.57,17:141.05,U:118.46:52644159::,32:121.94:19173380:1.13:9,32:129.21:20638338:2.42:235,151:135.35:24213386:4.4:459,221:142.37:20539499:8.44:777,211:148.7:26177439:12.45:77,169:157.3:26521332:21.1:253,U:160.12:27647305::,347:158.93:25639047:22.2:279,252:155.91:21562539:19.08:121,243:158.75:14819880:21.36:75
ROKU_112219C138,21.0,22:131.22,43:133.74,22:146.88,61:147.24,41:149.7461,41.0,40:140.51,43:139.57,42:141.05,43:118.46:52644159:1.56:76,80:121.94:19173380:1.05:41,92:129.21:20638338:2.2:104,138:135.35:24213386:4.05:460,247:142.37:20539499:7.83:541,348:148.7:26177439:12.64:240,221:157.3:26521332:20.25:332,370:160.12:27647305:23.08:86,340:158.93:25639047:21.18:241,239:155.91:21562539:18.1:46,240:158.75:14819880:19.29:135
ROKU_112919C119,21.0,21:131.22,31:133.74,20:146.88,20:147.24,20:149.7461,20.0,20:140.51,33:139.57,33:141.05,35:118.46:52644159:7.0:62,69:121.94:19173380:7.5:12,76:129.21:20638338:11.9:8,74:135.35:24213386:17.75:16,71:142.37:20539499:22.22:25,50:148.7:26177439:30.3:20,43:157.3:26521332:30.3:0,U:160.12:27647305::,62:158.93:25639047:36.25:0,62:155.91:21562539:39.09:2,61:158.75:14819880:39.09:0
ROKU_112919C120,47.0,47:131.22,464:133.74,44:146.88,44:147.24,41:149.67,40.0,35:140.51,55:139.57,55:141.05,45:118.46:52644159:6.56:188,116:121.94:19173380:7.15:237,260:129.21:20638338:12.0:204,300:135.35:24213386:16.6:148,273:142.37:20539499:22.0:10,271:148.7:26177439:29.5:105,168:157.3:26521332:37.63:37,U:160.12:27647305::,186:158.93:25639047:37.84:0,186:155.91:21562539:40.0:1,U:158.75:14819880:U:U
