Symbol,20191024,20191025,20191028,20191029,20191030,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
MSFT_112219P140,289.0,515:140.74,567:144.19,601:142.83,649:143.5,1454:144.26:17771424:0.65:129,1528:145.96:16555593:0.38:521,1596:146.11:14344868:0.28:391,1701:147.07:17991244:0.17:321,1787:147.31:16919179:0.15:141,1785:148.06:19685328:0.15:226,1705:149.97:23453151:0.07:655,1647:84.13:10211803:0.03:457,1909:149.4:19991472:0.05:225,1891:149.48:18568401:0.01:411,1917:0:0:0.01:104
MSFT_112219P141,143.0,144:140.74,161:144.19,204:142.83,229:143.47,646:144.26:17771424:0.82:146,738:145.96:16555593:0.5:304,844:146.11:14344868:0.37:165,919:147.07:17991244:0.23:201,895:147.31:16919179:0.18:68,869:148.06:19685328:0.16:1045,1318:149.97:23453151:0.07:191,1234:84.13:10211803:0.03:184,1418:149.4:19991472:0.06:917,1912:149.48:18568401:0.01:199,1925:0:0:0.01:21
MSFT_112219P142,131.0,133:140.74,136:144.19,279:142.83,393:143.4466,806:144.26:17771424:1.1:312,730:145.96:16555593:0.62:250,858:146.11:14344868:0.55:297,975:147.07:17991244:0.29:961,1338:147.31:16919179:0.23:260,1404:148.06:19685328:0.2:1890,2408:149.97:23453151:0.1:847,2396:84.13:10211803:0.04:430,2671:149.4:19991472:0.09:310,2773:149.48:18568401:0.01:2176,3902:0:0:0.01:242
MSFT_112219P143,30.0,29:140.74,43:144.19,245:142.83,381:143.4466,663:144.26:17771424:1.55:351,759:145.96:16555593:0.86:536,993:146.11:14344868:0.71:271,1022:147.07:17991244:0.39:1372,1555:147.31:16919179:0.33:835,1711:148.06:19685328:0.25:511,1651:149.97:23453151:0.1:219,1592:84.13:10211803:0.06:498,1839:149.4:19991472:0.09:240,1816:149.48:18568401:0.02:274,1898:0:0:0.01:221
MSFT_112219P144,21.0,22:140.74,22:144.19,59:142.83,125:143.41,805:144.26:17771424:1.8:786,950:145.96:16555593:1.07:637,1172:146.11:14344868:0.92:594,1297:147.07:17991244:0.55:2142,1604:147.31:16919179:0.45:769,1821:148.06:19685328:0.34:538,1866:149.97:23453151:0.14:1087,U:84.13:10211803::,1606:149.4:19991472:0.11:290,1814:149.48:18568401:0.03:197,1916:0:0:0.01:86
MSFT_112219P145,20.0,21:140.74,21:144.19,72:142.83,78:143.4,458:144.26:17771424:2.52:147,528:145.96:16555593:1.45:771,925:146.11:14344868:1.33:880,1092:147.07:17991244:0.78:1125,1349:147.31:16919179:0.64:910,1542:148.06:19685328:0.47:893,1561:149.97:23453151:0.18:1112,1749:84.13:10211803:0.1:982,1705:149.4:19991472:0.12:540,1870:149.48:18568401:0.04:683,1937:0:0:0.01:814
MSFT_112219P146,10.0,10:140.74,10:144.19,20:142.83,21:143.39,81:144.26:17771424:3.1:78,97:145.96:16555593:1.9:290,331:146.11:14344868:1.67:1399,1140:147.07:17991244:1.1:1082,1669:147.31:16919179:0.97:1375,2214:148.06:19685328:0.67:1076,2362:149.97:23453151:0.25:1432,2536:84.13:10211803:0.14:1871,3303:149.4:19991472:0.15:1394,3533:149.48:18568401:0.05:1009,3529:0:0:0.01:1267
MSFT_112219P147,0.0,0:140.74,0:144.19,20:142.83,59:143.45,76:144.26:17771424:3.9:73,80:145.96:16555593:2.5:48,114:146.11:14344868:2.3:111,176:147.07:17991244:1.52:1440,1095:147.31:16919179:1.36:600,3882:148.06:19685328:0.99:3144,4788:149.97:23453151:0.37:3642,6382:84.13:10211803:0.23:4722,7367:149.4:19991472:0.21:2075,7223:149.48:18568401:0.08:5082,7053:0:0:0.01:1420
MSFT_112919P128,191.0,225:140.74,225:144.19,235:142.83,235:143.36,233:144.26:17771424:0.08:10,233:145.96:16555593:0.08:0,233:146.11:14344868:0.08:0,233:147.07:17991244:0.05:52,190:147.31:16919179:0.06:8,190:148.06:19685328:0.06:0,190:149.97:23453151:0.05:4,U:84.13:10211803::,U:149.4:19991472:U:U,186:149.48:18568401:0.04:0,186:0:0:0.04:0
MSFT_112919P129,89.0,83:140.74,1238:144.19,1238:142.83,1238:143.36,1234:144.26:17771424:0.16:0,1234:145.96:16555593:0.13:1,1233:146.11:14344868:0.08:4,1233:147.07:17991244:0.08:0,1233:147.31:16919179:0.05:21,1253:148.06:19685328:0.05:0,1253:149.97:23453151:0.05:1,1253:84.13:10211803:0.05:0,1253:149.4:19991472:0.03:2,1252:149.48:18568401:0.02:12,1262:0:0:0.02:2
MSFT_112919P130,3508.0,3599:140.74,3604:144.19,3621:142.83,3650:143.39,3630:144.26:17771424:0.15:5,3625:145.96:16555593:0.15:0,3625:146.11:14344868:0.1:12,3625:147.07:17991244:0.06:62,3623:147.31:16919179:0.07:14,3617:148.06:19685328:0.08:138,3717:149.97:23453151:0.07:6,U:84.13:10211803::,U:149.4:19991472:8.:U,3922:149.48:18568401:0.03:191,4072:0:0:0.01:93
MSFT_112919P131,161.0,186:140.74,184:144.19,178:142.83,178:143.43,170:144.26:17771424:0.15:3,167:145.96:16555593:0.15:0,167:146.11:14344868:0.12:11,167:147.07:17991244:0.09:4,166:147.31:16919179:0.09:8,166:148.06:19685328:0.09:0,166:149.97:23453151:0.09:0,U:84.13:10211803:.5:0,307:149.4:19991472:0.06:11,307:149.48:18568401:0.04:12,318:0:0:0.01:2
MSFT_112919P132,216.0,156:140.74,165:144.19,188:142.83,215:143.37,199:144.26:17771424:0.21:8,198:145.96:16555593:0.16:5,196:146.11:14344868:0.12:11,206:147.07:17991244:0.08:9,206:147.31:16919179:0.08:0,206:148.06:19685328:0.08:0,206:149.97:23453151:0.06:84,250:84.13:10211803:0.03:7,U:149.4:19991472:U:U,818:149.48:18568401:0.07:0,818:0:0:0.02:53
MSFT_112919P133,101.0,126:140.74,131:144.19,137:142.83,151:143.36,1712:144.26:17771424:0.24:34,1686:145.96:16555593:0.15:8,1680:146.11:14344868:0.13:4,1676:147.07:17991244:0.08:24,1678:147.31:16919179:0.08:81,1758:148.06:19685328:0.11:20,1748:149.97:23453151:0.08:3,1745:84.13:10211803:0.04:24,U:149.4:19991472:U:U,1738:149.48:18568401:0.05:4,1739:0:0:0.02:25
MSFT_112919P134,65.0,111:140.74,150:144.19,148:142.83,151:143.38,414:144.26:17771424:0.22:8,410:145.96:16555593:0.2:23,406:146.11:14344868:0.2:0,406:147.07:17991244:0.11:1,405:147.31:16919179:0.1:10,415:148.06:19685328:0.09:4,415:149.97:23453151:0.06:53,405:84.13:10211803:0.04:25,578:149.4:19991472:0.09:429,814:149.48:18568401:0.06:1,815:0:0:0.03:3
MSFT_112919P135,282.0,290:140.74,299:144.19,321:142.83,461:143.4,803:144.26:17771424:0.34:48,802:145.96:16555593:0.22:168,782:146.11:14344868:0.17:13,772:147.07:17991244:0.12:193,786:147.31:16919179:0.11:25,777:148.06:19685328:0.11:351,863:149.97:23453151:0.07:7,U:84.13:10211803::,1074:149.4:19991472:0.09:380,1417:149.48:18568401:0.08:98,1515:0:0:0.02:67
MSFT_112919P136,346.0,418:140.74,521:144.19,536:142.83,538:143.4,616:144.26:17771424:0.41:30,609:145.96:16555593:0.28:3,608:146.11:14344868:0.2:4,606:147.07:17991244:0.15:14,602:147.31:16919179:0.13:11,595:148.06:19685328:0.11:3,594:149.97:23453151:0.09:29,586:84.13:10211803:0.07:32,1052:149.4:19991472:0.11:70,1093:149.48:18568401:0.07:96,1172:0:0:0.03:31
MSFT_112919P137,155.0,144:140.74,217:144.19,234:142.83,254:143.45,2032:144.26:17771424:0.38:110,2072:145.96:16555593:0.36:398,2440:146.11:14344868:0.23:12,2432:147.07:17991244:0.17:23,2435:147.31:16919179:0.16:47,2409:148.06:19685328:0.12:46,2447:149.97:23453151:0.08:67,2433:84.13:10211803:0.06:5,U:149.4:19991472:U:U,3147:149.48:18568401:0.08:103,3059:0:0:0.05:108
MSFT_112919P138,539.0,543:140.74,558:144.19,661:142.83,667:143.4574,778:144.26:17771424:0.63:99,768:145.96:16555593:0.44:17,768:146.11:14344868:0.31:47,750:147.07:17991244:0.2:149,691:147.31:16919179:0.19:27,669:148.06:19685328:0.15:7,667:149.97:23453151:0.1:113,613:84.13:10211803:0.06:52,U:149.4:19991472:U:U,620:149.48:18568401:0.1:58,661:0:0:0.03:260
MSFT_112919P139,189.0,291:140.74,655:144.19,1709:142.83,1837:143.465,3076:144.26:17771424:0.63:10,3073:145.96:16555593:0.45:94,3149:146.11:14344868:0.37:82,3208:147.07:17991244:0.24:80,3225:147.31:16919179:0.21:18,3241:148.06:19685328:0.18:10,3233:149.97:23453151:0.1:192,3272:84.13:10211803:0.08:25,3355:149.4:19991472:0.13:116,3420:149.48:18568401:0.11:45,3436:0:0:0.04:299
MSFT_112919P140,84.0,141:140.74,236:144.19,302:142.83,409:143.43,776:144.26:17771424:0.94:62,782:145.96:16555593:0.57:171,689:146.11:14344868:0.45:145,749:147.07:17991244:0.3:1710,1772:147.31:16919179:0.25:35,1772:148.06:19685328:0.22:97,1807:149.97:23453151:0.12:357,1897:84.13:10211803:0.09:314,2045:149.4:19991472:0.15:162,2140:149.48:18568401:0.12:342,2224:0:0:0.04:509
MSFT_112919P141,83.0,88:140.74,94:144.19,130:142.83,166:143.43,533:144.26:17771424:1.2:59,537:145.96:16555593:0.71:13,534:146.11:14344868:0.61:118,576:147.07:17991244:0.38:235,783:147.31:16919179:0.33:22,776:148.06:19685328:0.28:40,808:149.97:23453151:0.16:156,773:84.13:10211803:0.1:118,986:149.4:19991472:0.16:258,997:149.48:18568401:0.13:205,1013:0:0:0.06:276
MSFT_112919P142,33.0,32:140.74,32:144.19,115:142.83,127:143.43,427:144.26:17771424:1.5:210,452:145.96:16555593:0.87:398,636:146.11:14344868:0.77:226,748:147.07:17991244:0.48:553,925:147.31:16919179:0.41:239,874:148.06:19685328:0.33:173,964:149.97:23453151:0.18:281,812:84.13:10211803:0.12:138,849:149.4:19991472:0.19:92,872:149.48:18568401:0.15:411,837:0:0:0.07:95
MSFT_112919P143,5.0,4:140.74,5:144.19,31:142.83,53:143.43,439:144.26:17771424:1.85:133,487:145.96:16555593:1.13:605,938:146.11:14344868:0.98:232,1074:147.07:17991244:0.63:285,1229:147.31:16919179:0.55:183,1285:148.06:19685328:0.43:518,1705:149.97:23453151:0.23:286,1704:84.13:10211803:0.17:1067,2265:149.4:19991472:0.21:155,2191:149.48:18568401:0.18:963,2391:0:0:0.09:742
