Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
KEYS_122019C130,5:104.3,5:104.12,5:103.38,5:103.72:673277:0.3:0,5:105.25:737008:0.3:0,5:105.62:820350:0.25:2,7:107.06:987720:0.25:0,7:106.65:991157:0.25:0,7:106.83:743776:0.25:0,7:109.08:1215346:0.45:6,9:107.37:1546481:0.3:16,18:108.13:769554:0.35:2,20:107.21:550606:0.27:7,20:105.75:1096732:0.27:0,[20:103.66:1857092:0.25:16
KEYS_011720C100,U,U,U,U,U,U,U,U,1529:106.83:743776:10.54:1,1530:109.08:1215346:11.9:52,1510:107.37:1546481:10.81:17,1510:108.13:769554:11.35:9,1501:107.21:550606:10.6:10,1497:105.75:1096732:10.73:2,[1495:103.66:1857092:8.16:102
KEYS_011720C105,U,U,U,U,U,U,U,U,512:106.83:743776:7.24:20,520:109.08:1215346:8.5:24,514:107.37:1546481:7.7:24,528:108.13:769554:8.0:8,521:107.21:550606:7.5:3,521:105.75:1096732:6.7:3,[520:103.66:1857092:5.6:44
KEYS_011720C110,U,U,U,U,U,U,U,U,589:106.83:743776:4.86:5,586:109.08:1215346:5.6:37,567:107.37:1546481:5.3:67,583:108.13:769554:5.2:12,585:107.21:550606:4.96:15,588:105.75:1096732:4.5:14,[586:103.66:1857092:3.36:81
KEYS_011720C115,U,U,U,U,U,U,U,U,682:106.83:743776:2.95:3,679:109.08:1215346:3.53:297,963:107.37:1546481:3.0:13,965:108.13:769554:3.2:11,955:107.21:550606:3.2:6,973:105.75:1096732:2.6:8,[980:103.66:1857092:1.9:33
KEYS_011720C120,U,U,U,U,U,U,U,U,120:106.83:743776:1.75:11,110:109.08:1215346:2.02:11,109:107.37:1546481:1.96:5,110:108.13:769554:2.0:4,110:107.21:550606:2.0:0,110:105.75:1096732:1.5:30,[120:103.66:1857092:1.1:6
KEYS_011720C125,U,U,U,U,U,U,U,U,22:106.83:743776:0.95:138,122:109.08:1215346:1.2:7,123:107.37:1546481:1.25:1,124:108.13:769554:1.25:0,124:107.21:550606:1.25:0,124:105.75:1096732:0.93:1,[124:103.66:1857092:0.51:3
KEYS_011720C130,U,U,U,U,U,U,U,U,34:106.83:743776:0.47:0,34:109.08:1215346:0.55:1,34:107.37:1546481:0.55:0,34:108.13:769554:0.54:1,34:107.21:550606:0.54:0,34:105.75:1096732:0.54:0,[34:103.66:1857092:0.26:6
KEYS_011720C135,U,U,U,U,U,U,U,U,217:106.83:743776:0.3:0,217:109.08:1215346:0.3:0,217:107.37:1546481:0.35:3,217:108.13:769554:0.31:3,219:107.21:550606:0.31:0,219:105.75:1096732:0.31:0,[219:103.66:1857092:0.31:0
KEYS_011720C80,U,U,U,U,U,U,U,U,77:106.83:743776:26.0:0,77:109.08:1215346:26.0:0,77:107.37:1546481:26.0:0,77:108.13:769554:26.0:0,77:107.21:550606:26.0:0,77:105.75:1096732:26.0:0,[77:103.66:1857092:26.0:0
