Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
HUBS_122019P180,20:141.33:606512:22.2:0,20:141.09:865180:22.2:0,12:143.58:701176:22.2:0,12:141.73:701291:22.2:0,10:143.69:639313:22.2:0,10:145.74:968033:22.2:0,10:148.86:733363:22.2:0,10:151.11:650076:22.2:0,10:146.38:685151:22.2:0,10:144.59:637546:22.2:0,[10:144.66:461544:22.2:0
HUBS_122019P185,40:141.33:606512:35.84:0,40:141.09:865180:35.84:0,40:143.58:701176:35.84:0,40:141.73:701291:35.84:0,10:143.69:639313:35.84:0,10:145.74:968033:35.84:0,10:148.86:733363:35.84:0,10:151.11:650076:35.84:0,10:146.38:685151:35.84:0,10:144.59:637546:35.84:0,[10:144.66:461544:35.84:0
HUBS_122019P190,3:141.33:606512:36.13:0,3:141.09:865180:36.13:0,3:143.58:701176:36.13:0,3:141.73:701291:36.13:0,3:143.69:639313:36.13:0,3:145.74:968033:36.13:0,3:148.86:733363:36.13:0,3:151.11:650076:36.13:0,3:146.38:685151:36.13:0,3:144.59:637546:36.13:0,[3:144.66:461544:36.13:0
HUBS_122019P195,U,U,U,U,U,40:145.74:968033:52.12:1,40:148.86:733363:52.12:0,40:151.11:650076:52.12:0,40:146.38:685151:52.12:0,40:144.59:637546:52.12:0,40:144.66:461544:52.12:0
HUBS_011720P100,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:0.0:0,0:144.59:637546:0.0:0,[0:144.66:461544:0.0:0
HUBS_011720P105,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:0.0:0,0:144.59:637546:0.0:0,[0:144.66:461544:0.0:0
HUBS_011720P110,U,U,U,U,U,U,0:148.86:733363:2.33:1,1:151.11:650076:0.32:1,1:146.38:685151:0.32:0,1:144.59:637546:0.32:0,[1:144.66:461544:0.32:0
HUBS_011720P115,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:0.7:3,3:144.59:637546:0.7:0,[3:144.66:461544:0.7:0
HUBS_011720P120,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:1.27:1,1:144.59:637546:1.17:1,[1:144.66:461544:1.17:0
HUBS_011720P125,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:1.56:10,10:146.38:685151:1.87:21,21:144.59:637546:1.87:0,[21:144.66:461544:1.87:0
HUBS_011720P130,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:2.31:10,10:146.38:685151:2.31:0,10:144.59:637546:2.31:0,[10:144.66:461544:2.31:0
HUBS_011720P135,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:0.0:0,0:144.59:637546:3.98:1,[1:144.66:461544:3.98:0
HUBS_011720P140,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:4.1:1,1:146.38:685151:4.1:0,1:144.59:637546:4.1:0,[1:144.66:461544:4.1:0
HUBS_011720P145,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:6.95:2,2:144.59:637546:7.3:1,[3:144.66:461544:7.3:0
HUBS_011720P150,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:7.77:1,1:146.38:685151:7.77:0,1:144.59:637546:7.77:0,[1:144.66:461544:7.77:0
HUBS_011720P155,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:12.2:3,3:144.59:637546:12.2:0,[3:144.66:461544:12.2:0
HUBS_011720P160,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:0.0:0,0:144.59:637546:0.0:0,[0:144.66:461544:0.0:0
HUBS_011720P165,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:0.0:0,0:144.59:637546:0.0:0,[0:144.66:461544:0.0:0
HUBS_011720P170,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:0.0:0,0:144.59:637546:0.0:0,[0:144.66:461544:0.0:0
HUBS_011720P175,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:0.0:0,0:144.59:637546:0.0:0,[0:144.66:461544:0.0:0
HUBS_011720P180,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:0.0:0,0:144.59:637546:0.0:0,[0:144.66:461544:0.0:0
HUBS_011720P185,U,U,U,U,U,U,0:148.86:733363:0.0:0,0:151.11:650076:0.0:0,0:146.38:685151:0.0:0,0:144.59:637546:0.0:0,[0:144.66:461544:0.0:0
HUBS_122019P200,U,U,U,U,U,U,U,70:151.11:650076:52.4:0,70:146.38:685151:52.4:0,70:144.59:637546:52.4:0,70:144.66:461544:52.4:0
HUBS_011720P95,U,U,U,U,U,U,U,U,U,0:144.59:637546:0.0:0,[0:144.66:461544:0.0:0
