Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120
CRM_112919P145,101:161.11:3265029:0.28:11,101:161.78:3536960:0.26:41,115:162.86:3697018:0.26:0,115:162.6:5383958:0.17:18,131:163.05:3705452:0.18:10,131:163.21:3653186:0.16:4,135:162.77:5557347:0.13:18,:163.96:4950808:.:U,152:300.72:1153529:0.09:0
CRM_112919P146,147:161.11:3265029:0.36:47,194:161.78:3536960:0.38:36,217:162.86:3697018:0.19:1,216:162.6:5383958:0.19:0,216:163.05:3705452:0.19:0,216:163.21:3653186:0.19:0,216:162.77:5557347:0.16:2,218:163.96:4950808:0.08:3,U:300.72:1153529:.4:U
CRM_112919P147,343:161.11:3265029:0.41:163,392:161.78:3536960:0.41:4,395:162.86:3697018:0.24:35,413:162.6:5383958:0.24:0,413:163.05:3705452:0.24:0,413:163.21:3653186:0.18:100,448:162.77:5557347:0.18:0,448:163.96:4950808:0.18:0,448:300.72:1153529:0.06:20
CRM_112919P148,466:161.11:3265029:0.48:51,509:161.78:3536960:0.42:65,509:162.86:3697018:0.28:4,507:162.6:5383958:0.29:15,507:163.05:3705452:0.23:1,507:163.21:3653186:0.23:0,507:162.77:5557347:0.24:69,507:163.96:4950808:0.14:100,607:300.72:1153529:0.14:0
CRM_112919P149,249:161.11:3265029:0.58:231,393:161.78:3536960:0.51:61,446:162.86:3697018:0.33:1,445:162.6:5383958:0.34:16,445:163.05:3705452:0.34:0,445:163.21:3653186:0.34:0,445:162.77:5557347:0.26:4,449:163.96:4950808:0.26:0,449:300.72:1153529:0.02:11
CRM_112919P150,377:161.11:3265029:0.71:57,394:161.78:3536960:0.72:47,423:162.86:3697018:0.37:30,413:162.6:5383958:0.4:27,432:163.05:3705452:0.31:10,434:163.21:3653186:0.27:17,438:162.77:5557347:0.31:186,420:163.96:4950808:0.17:60,438:300.72:1153529:0.13:188
CRM_112919P152.5,457:161.11:3265029:1.07:73,497:161.78:3536960:1.04:64,519:162.86:3697018:0.59:41,519:162.6:5383958:0.63:28,531:163.05:3705452:0.5:6,531:163.21:3653186:0.39:39,544:162.77:5557347:0.46:85,536:163.96:4950808:0.28:168,624:300.72:1153529:0.18:130
CRM_112919P155,539:161.11:3265029:1.56:135,652:161.78:3536960:1.52:52,681:162.86:3697018:1.04:141,764:162.6:5383958:0.98:65,804:163.05:3705452:0.75:9,809:163.21:3653186:0.61:135,916:162.77:5557347:0.78:380,916:163.96:4950808:0.45:130,1020:300.72:1153529:0.25:155
CRM_112919P157.5,168:161.11:3265029:2.28:269,415:161.78:3536960:2.15:245,468:162.86:3697018:1.39:92,534:162.6:5383958:1.44:54,544:163.05:3705452:1.18:66,559:163.21:3653186:1.01:77,595:162.77:5557347:1.3:251,802:163.96:4950808:0.84:253,U:300.72:1153529:U:U
CRM_112919P160,194:161.11:3265029:3.2:455,495:161.78:3536960:2.94:185,591:162.86:3697018:2.18:114,645:162.6:5383958:2.15:120,695:163.05:3705452:1.8:109,716:163.21:3653186:1.59:69,746:162.77:5557347:2.0:254,907:163.96:4950808:1.32:122,943:300.72:1153529:0.95:395
CRM_112919P162.5,43:161.11:3265029:5.1:10,33:161.78:3536960:4.15:25,50:162.86:3697018:3.55:140,142:162.6:5383958:3.1:79,189:163.05:3705452:2.75:315,416:163.21:3653186:2.5:76,403:162.77:5557347:3.06:754,735:163.96:4950808:2.19:158,U:300.72:1153529:U:U
CRM_112919P165,21:161.11:3265029:8.15:0,21:161.78:3536960:5.45:26,38:162.86:3697018:4.4:14,45:162.6:5383958:4.6:87,104:163.05:3705452:4.47:44,115:163.21:3653186:3.9:31,125:162.77:5557347:4.3:56,139:163.96:4950808:3.4:119,206:300.72:1153529:2.8:298
CRM_112919P167.5,26:161.11:3265029:8.5:0,26:161.78:3536960:7.7:5,31:162.86:3697018:6.29:2,33:162.6:5383958:6.29:0,33:163.05:3705452:5.5:3,34:163.21:3653186:5.65:4,36:162.77:5557347:5.45:11,38:163.96:4950808:4.85:31,46:300.72:1153529:4.18:104
CRM_112919P170,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:7.3:11,11:162.6:5383958:7.45:11,11:163.05:3705452:7.45:0,11:163.21:3653186:7.8:13,24:162.77:5557347:7.8:0,24:163.96:4950808:7.35:10,32:300.72:1153529:7.4:68
CRM_112919P172.5,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:0.0:0,0:162.77:5557347:0.0:0,0:163.96:4950808:0.0:0,0:300.72:1153529:7.8:6
CRM_112919P175,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:0.0:0,0:162.77:5557347:0.0:0,0:163.96:4950808:0.0:0,0:300.72:1153529:0.0:0
