Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
COHR_122019P185,0:159.33,0:164.52,0:163.51,0:167.01:388077:23.9:0,0:160.22:368591:23.9:0,0:156.33:370325:23.9:0,0:156.11:280992:23.9:0,0:153.81:178617:23.9:0,0:153.23:143018:23.9:0,0:155.84:153434:23.9:0,0:154.19:233372:23.9:0,0:151.78:265748:23.9:0,0:153.57:140165:23.9:0,0:149.75:308135:23.9:0,[0:150.86:152258:23.9:0
COHR_122019P190,0:159.33,0:164.52,0:163.51,0:167.01:388077:0.0:0,0:160.22:368591:0.0:0,0:156.33:370325:0.0:0,0:156.11:280992:0.0:0,0:153.81:178617:0.0:0,0:153.23:143018:0.0:0,0:155.84:153434:0.0:0,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_122019P195,0:159.33,0:164.52,0:163.51,1:167.01:388077:29.7:0,1:160.22:368591:29.7:0,1:156.33:370325:29.7:0,1:156.11:280992:29.7:0,1:153.81:178617:29.7:0,0:153.23:143018:29.7:0,0:155.84:153434:29.7:0,0:154.19:233372:29.7:0,0:151.78:265748:29.7:0,0:153.57:140165:29.7:0,0:149.75:308135:29.7:0,[0:150.86:152258:29.7:0
COHR_122019P200,0:159.33,0:164.52,0:163.51,0:167.01:388077:0.0:0,0:160.22:368591:0.0:0,0:156.33:370325:0.0:0,0:156.11:280992:0.0:0,0:153.81:178617:0.0:0,0:153.23:143018:0.0:0,0:155.84:153434:0.0:0,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_122019P205,0:159.33,0:164.52,0:163.51,0:167.01:388077:0.0:0,0:160.22:368591:0.0:0,0:156.33:370325:0.0:0,0:156.11:280992:0.0:0,0:153.81:178617:0.0:0,0:153.23:143018:0.0:0,0:155.84:153434:0.0:0,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,0:150.86:152258:0.0:0
COHR_122019P210,U,0:164.52,0:163.51,0:167.01:388077:0.0:0,0:160.22:368591:0.0:0,0:156.33:370325:0.0:0,0:156.11:280992:0.0:0,0:153.81:178617:0.0:0,0:153.23:143018:0.0:0,0:155.84:153434:0.0:0,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,0:150.86:152258:0.0:0
COHR_122019P215,U,U,U,0:167.01:388077:0.0:0,0:160.22:368591:0.0:0,0:156.33:370325:0.0:0,0:156.11:280992:0.0:0,0:153.81:178617:0.0:0,0:153.23:143018:0.0:0,0:155.84:153434:0.0:0,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,0:150.86:152258:0.0:0
COHR_122019P105,U,U,U,U,U,U,U,68:153.81:178617:0.35:1,67:153.23:143018:0.35:0,67:155.84:153434:0.35:0,67:154.19:233372:0.35:0,67:151.78:265748:0.35:0,67:153.57:140165:0.35:0,67:149.75:308135:0.35:0,[67:150.86:152258:0.35:0
COHR_011720P105,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720P110,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720P115,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.7:1
COHR_011720P120,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720P125,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720P130,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:2.2:5,5:153.57:140165:2.2:0,5:149.75:308135:2.2:0,[5:150.86:152258:2.2:0
COHR_011720P135,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:3.4:5
COHR_011720P140,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:4.34:1,1:153.57:140165:4.34:0,1:149.75:308135:4.34:0,[1:150.86:152258:4.34:0
COHR_011720P145,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:7.0:2,2:153.57:140165:7.0:0,2:149.75:308135:7.0:0,[2:150.86:152258:7.0:0
COHR_011720P150,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:7.4:1,1:151.78:265748:7.4:0,1:153.57:140165:7.7:5,5:149.75:308135:7.7:0,[5:150.86:152258:7.7:0
COHR_011720P155,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720P160,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:14.8:10
COHR_011720P165,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720P170,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720P175,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720P180,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720P185,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720P190,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720P195,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720P200,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_122019P100,U,U,U,U,U,U,U,U,U,U,U,U,U,50:149.75:308135:0.6:0,50:150.86:152258:0.6:0
COHR_011720P100,U,U,U,U,U,U,U,U,U,U,U,U,U,0:149.75:308135:0.0:0,0:150.86:152258:0.0:0
