Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
COHR_122019C185,36:159.33,37:164.52,37:163.51,37:167.01:388077:1.8:1,38:160.22:368591:1.2:2,40:156.33:370325:0.8:12,47:156.11:280992:0.8:0,47:153.81:178617:0.8:0,47:153.23:143018:0.42:6,42:155.84:153434:0.42:0,42:154.19:233372:0.42:0,42:151.78:265748:0.42:0,42:153.57:140165:0.42:0,42:149.75:308135:0.42:0,[42:150.86:152258:0.42:0
COHR_122019C190,67:159.33,67:164.52,70:163.51,80:167.01:388077:2.5:0,80:160.22:368591:2.5:0,80:156.33:370325:0.55:5,80:156.11:280992:0.45:2,80:153.81:178617:0.45:0,80:153.23:143018:0.45:0,80:155.84:153434:0.45:0,80:154.19:233372:0.45:0,80:151.78:265748:0.45:0,80:153.57:140165:0.18:9,86:149.75:308135:0.37:6,[86:150.86:152258:0.37:0
COHR_122019C195,32:159.33,32:164.52,33:163.51,34:167.01:388077:0.8:0,34:160.22:368591:0.8:0,34:156.33:370325:0.8:0,34:156.11:280992:0.8:0,34:153.81:178617:0.8:0,34:153.23:143018:0.8:0,34:155.84:153434:0.8:0,34:154.19:233372:0.8:0,34:151.78:265748:0.8:0,34:153.57:140165:0.8:0,34:149.75:308135:0.8:0,[34:150.86:152258:0.8:0
COHR_122019C200,47:159.33,47:164.52,47:163.51,47:167.01:388077:0.75:1,48:160.22:368591:0.3:1,47:156.33:370325:0.3:0,47:156.11:280992:0.3:0,47:153.81:178617:0.3:0,47:153.23:143018:0.3:0,47:155.84:153434:0.3:0,47:154.19:233372:0.3:0,47:151.78:265748:0.3:0,47:153.57:140165:0.3:0,47:149.75:308135:0.3:0,[47:150.86:152258:0.3:0
COHR_122019C205,0:159.33,0:164.52,0:163.51,0:167.01:388077:0.0:0,0:160.22:368591:0.0:0,0:156.33:370325:0.0:0,0:156.11:280992:0.0:0,0:153.81:178617:0.0:0,0:153.23:143018:0.0:0,0:155.84:153434:0.0:0,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,0:150.86:152258:0.0:0
COHR_122019C210,U,36:164.52,36:163.51,36:167.01:388077:4.2:0,36:160.22:368591:4.2:0,36:156.33:370325:4.2:0,36:156.11:280992:4.2:0,36:153.81:178617:4.2:0,36:153.23:143018:4.2:0,36:155.84:153434:4.2:0,36:154.19:233372:4.2:0,36:151.78:265748:4.2:0,36:153.57:140165:4.2:0,36:149.75:308135:4.2:0,36:150.86:152258:4.2:0
COHR_122019C215,U,U,U,0:167.01:388077:0.0:0,0:160.22:368591:0.0:0,0:156.33:370325:0.0:0,0:156.11:280992:0.0:0,0:153.81:178617:0.0:0,0:153.23:143018:0.0:0,0:155.84:153434:0.0:0,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,0:150.86:152258:0.0:0
COHR_122019C105,U,U,U,U,U,U,U,10:153.81:178617:32.81:0,10:153.23:143018:32.81:0,10:155.84:153434:32.81:0,10:154.19:233372:32.81:0,10:151.78:265748:32.81:0,10:153.57:140165:32.81:0,10:149.75:308135:32.81:0,[10:150.86:152258:32.81:0
COHR_011720C105,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720C110,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
