Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
STX_112219C62,11:58.08,11:57.67,11:57.84,14:58.12:1709504:0.12:0,14:58.79:1540559:0.12:0,14:58.25:1438939:0.12:0,14:57.97:1694140:0.12:0,14:58.13:1515242:0.12:0,14:58.21:1281163:0.12:0,14:59.08:2369860:0.12:0,14:60.09:2713989:0.14:12,24:59.61:1398640:0.14:0,24:59.48:1869317:0.01:2,[24:59.28:1496258:0.01:0
STX_112219C63,7:58.08,7:57.67,7:57.84,6:58.12:1709504:0.06:0,6:58.79:1540559:0.06:0,6:58.25:1438939:0.06:0,6:57.97:1694140:0.06:0,6:58.13:1515242:0.06:0,6:58.21:1281163:0.06:0,6:59.08:2369860:0.06:0,6:60.09:2713989:0.06:0,6:59.61:1398640:0.06:0,6:59.48:1869317:0.06:0,[6:59.28:1496258:0.06:0
STX_112219C64,0:58.08,0:57.67,0:57.84,0:58.12:1709504:0.0:0,0:58.79:1540559:0.0:0,0:58.25:1438939:0.0:0,0:57.97:1694140:0.0:0,0:58.13:1515242:0.0:0,0:58.21:1281163:0.0:0,0:59.08:2369860:0.0:0,0:60.09:2713989:0.0:0,0:59.61:1398640:0.0:0,0:59.48:1869317:0.0:0,[0:59.28:1496258:0.0:0
STX_112219C65,5:58.08,6:57.67,6:57.84,6:58.12:1709504:0.03:0,6:58.79:1540559:0.03:0,6:58.25:1438939:0.03:0,6:57.97:1694140:0.03:0,6:58.13:1515242:0.03:0,6:58.21:1281163:0.03:0,6:59.08:2369860:0.03:0,6:60.09:2713989:0.01:1,6:59.61:1398640:0.01:0,6:59.48:1869317:0.01:0,6:59.28:1496258:0.01:0
STX_112919C53.5,3:58.08,3:57.67,3:57.84,3:58.12:1709504:3.43:0,3:58.79:1540559:4.72:3,3:58.25:1438939:4.72:0,3:57.97:1694140:4.72:0,3:58.13:1515242:4.72:0,3:58.21:1281163:4.72:0,3:59.08:2369860:4.72:0,3:60.09:2713989:4.72:0,3:59.61:1398640:4.72:0,3:59.48:1869317:4.72:0,3:59.28:1496258:4.72:0
STX_112919C54,2:58.08,2:57.67,2:57.84,2:58.12:1709504:4.77:0,2:58.79:1540559:4.77:0,2:58.25:1438939:4.77:0,2:57.97:1694140:4.77:0,2:58.13:1515242:4.77:0,2:58.21:1281163:4.39:2,2:59.08:2369860:5.26:1,2:60.09:2713989:5.26:0,2:59.61:1398640:5.26:0,2:59.48:1869317:5.26:0,2:59.28:1496258:5.26:0
STX_112919C54.5,6:58.08,6:57.67,6:57.84,6:58.12:1709504:3.24:0,6:58.79:1540559:3.24:0,6:58.25:1438939:3.24:0,6:57.97:1694140:3.24:0,6:58.13:1515242:3.24:0,6:58.21:1281163:3.24:0,6:59.08:2369860:5.02:2,4:60.09:2713989:5.02:0,4:59.61:1398640:5.02:0,4:59.48:1869317:5.02:0,[4:59.28:1496258:4.95:1
STX_112919C55,21:58.08,17:57.67,17:57.84,17:58.12:1709504:4.15:2,17:58.79:1540559:3.87:1,18:58.25:1438939:3.87:0,18:57.97:1694140:3.3:11,29:58.13:1515242:3.26:3,29:58.21:1281163:3.26:0,29:59.08:2369860:3.26:0,29:60.09:2713989:3.26:0,29:59.61:1398640:4.77:1,28:59.48:1869317:4.77:0,[28:59.28:1496258:4.77:0
STX_112919C55.5,9:58.08,9:57.67,9:57.84,9:58.12:1709504:2.71:0,9:58.79:1540559:2.71:0,9:58.25:1438939:2.71:0,9:57.97:1694140:2.71:0,9:58.13:1515242:2.71:0,9:58.21:1281163:2.71:0,9:59.08:2369860:2.71:0,9:60.09:2713989:2.71:0,10:59.61:1398640:4.31:0,10:59.48:1869317:4.31:0,[10:59.28:1496258:4.31:0
STX_112919C56,5:58.08,5:57.67,5:57.84,5:58.12:1709504:2.62:0,5:58.79:1540559:2.62:0,5:58.25:1438939:2.62:0,5:57.97:1694140:2.62:0,5:58.13:1515242:2.62:0,5:58.21:1281163:2.62:0,5:59.08:2369860:2.62:0,5:60.09:2713989:2.62:0,5:59.61:1398640:3.7:1,5:59.48:1869317:3.7:0,[5:59.28:1496258:3.7:0
STX_112919C56.5,8:58.08,8:57.67,8:57.84,8:58.12:1709504:2.58:0,8:58.79:1540559:2.58:0,8:58.25:1438939:2.58:0,8:57.97:1694140:2.58:0,8:58.13:1515242:2.58:0,8:58.21:1281163:2.29:5,4:59.08:2369860:2.9:2,6:60.09:2713989:2.9:0,6:59.61:1398640:2.9:0,6:59.48:1869317:2.9:0,[6:59.28:1496258:2.9:0
STX_112919C57,28:58.08,28:57.67,28:57.84,28:58.12:1709504:1.86:0,28:58.79:1540559:1.96:3,28:58.25:1438939:1.96:0,28:57.97:1694140:2.0:1,28:58.13:1515242:2.0:0,28:58.21:1281163:1.82:2,30:59.08:2369860:2.25:4,33:60.09:2713989:2.25:0,33:59.61:1398640:2.25:0,33:59.48:1869317:2.25:0,[33:59.28:1496258:2.2:4
STX_112919C57.5,28:58.08,28:57.67,28:57.84,28:58.12:1709504:1.7:20,30:58.79:1540559:1.7:0,30:58.25:1438939:1.88:7,30:57.97:1694140:1.88:0,30:58.13:1515242:1.88:0,30:58.21:1281163:1.48:3,31:59.08:2369860:1.48:0,31:60.09:2713989:2.34:1,30:59.61:1398640:2.45:20,30:59.48:1869317:2.45:0,[30:59.28:1496258:1.87:5
STX_112919C58,38:58.08,258:57.67,259:57.84,259:58.12:1709504:1.75:20,268:58.79:1540559:1.68:220,107:58.25:1438939:1.53:5,112:57.97:1694140:1.53:0,112:58.13:1515242:1.01:6,118:58.21:1281163:1.22:9,123:59.08:2369860:1.85:23,141:60.09:2713989:2.6:2,141:59.61:1398640:2.6:0,141:59.48:1869317:1.78:1,[142:59.28:1496258:1.44:2
STX_112919C58.5,11:58.08,31:57.67,32:57.84,32:58.12:1709504:1.4:7,38:58.79:1540559:1.39:20,38:58.25:1438939:1.25:1,38:57.97:1694140:1.0:6,43:58.13:1515242:0.92:61,73:58.21:1281163:0.97:18,83:59.08:2369860:1.0:1,84:60.09:2713989:2.05:14,84:59.61:1398640:2.05:0,84:59.48:1869317:1.33:29,[112:59.28:1496258:1.0:26
STX_112919C59,24:58.08,24:57.67,27:57.84,27:58.12:1709504:1.05:13,40:58.79:1540559:1.18:2,42:58.25:1438939:0.93:11,52:57.97:1694140:0.77:29,70:58.13:1515242:0.67:27,47:58.21:1281163:0.69:10,51:59.08:2369860:1.0:31,75:60.09:2713989:1.71:55,109:59.61:1398640:1.54:0,109:59.48:1869317:1.03:19,[111:59.28:1496258:0.76:51
STX_112919C59.5,13:58.08,13:57.67,22:57.84,22:58.12:1709504:0.83:13,31:58.79:1540559:0.88:11,42:58.25:1438939:0.82:23,65:57.97:1694140:0.62:2,67:58.13:1515242:0.53:10,64:58.21:1281163:0.53:0,64:59.08:2369860:0.94:87,141:60.09:2713989:1.23:16,149:59.61:1398640:0.94:12,160:59.48:1869317:0.76:14,[169:59.28:1496258:0.51:38
STX_112919C60,48:58.08,48:57.67,54:57.84,54:58.12:1709504:0.71:134,183:58.79:1540559:0.78:14,196:58.25:1438939:0.64:10,205:57.97:1694140:0.42:14,212:58.13:1515242:0.32:4,216:58.21:1281163:0.38:7,223:59.08:2369860:0.54:120,322:60.09:2713989:1.06:209,329:59.61:1398640:0.7:46,338:59.48:1869317:0.54:46,[338:59.28:1496258:0.29:68
STX_112919C61,38:58.08,40:57.67,44:57.84,44:58.12:1709504:0.39:1,44:58.79:1540559:0.44:44,83:58.25:1438939:0.36:108,186:57.97:1694140:0.36:0,186:58.13:1515242:0.17:20,186:58.21:1281163:0.17:0,186:59.08:2369860:0.24:50,219:60.09:2713989:0.71:43,240:59.61:1398640:0.24:91,320:59.48:1869317:0.24:4,[322:59.28:1496258:0.1:20
STX_112919C61.5,14:58.08,14:57.67,14:57.84,14:58.12:1709504:0.78:0,14:58.79:1540559:0.23:3,17:58.25:1438939:0.28:14,31:57.97:1694140:0.28:0,31:58.13:1515242:0.28:0,31:58.21:1281163:0.28:0,31:59.08:2369860:0.19:64,93:60.09:2713989:0.46:150,157:59.61:1398640:0.24:20,177:59.48:1869317:0.24:0,[177:59.28:1496258:0.08:101
STX_112919C62,5:58.08,5:57.67,5:57.84,5:58.12:1709504:0.26:13,13:58.79:1540559:0.26:0,13:58.25:1438939:0.19:1,14:57.97:1694140:0.11:3,17:58.13:1515242:0.11:0,17:58.21:1281163:0.09:4,21:59.08:2369860:0.1:5,25:60.09:2713989:0.31:182,161:59.61:1398640:0.13:1,162:59.48:1869317:0.13:0,[162:59.28:1496258:0.13:0
STX_112919C63,14:58.08,14:57.67,14:57.84,14:58.12:1709504:0.2:0,14:58.79:1540559:0.2:0,14:58.25:1438939:0.2:0,14:57.97:1694140:0.2:0,14:58.13:1515242:0.2:0,14:58.21:1281163:0.2:0,14:59.08:2369860:0.2:0,14:60.09:2713989:0.15:5,14:59.61:1398640:0.12:0,14:59.48:1869317:0.12:0,[14:59.28:1496258:0.12:0
STX_112919C64,6:58.08,6:57.67,6:57.84,6:58.12:1709504:0.13:0,6:58.79:1540559:0.13:0,6:58.25:1438939:0.13:0,6:57.97:1694140:0.13:0,6:58.13:1515242:0.13:0,6:58.21:1281163:0.13:0,6:59.08:2369860:0.13:0,6:60.09:2713989:0.08:3,9:59.61:1398640:0.08:0,9:59.48:1869317:0.08:0,[9:59.28:1496258:0.08:0
STX_112919C65,0:58.08,0:57.67,0:57.84,0:58.12:1709504:0.0:0,0:58.79:1540559:0.0:0,0:58.25:1438939:0.0:0,0:57.97:1694140:0.0:0,0:58.13:1515242:0.0:0,0:58.21:1281163:0.0:0,0:59.08:2369860:0.0:0,0:60.09:2713989:0.0:0,0:59.61:1398640:0.0:0,0:59.48:1869317:0.0:0,0:59.28:1496258:0.0:0
STX_120619C53.5,0:58.08,0:57.67,0:57.84,0:58.12:1709504:0.0:0,0:58.79:1540559:0.0:0,0:58.25:1438939:0.0:0,0:57.97:1694140:0.0:0,0:58.13:1515242:0.0:0,0:58.21:1281163:0.0:0,0:59.08:2369860:5.55:1,1:60.09:2713989:6.8:1,1:59.61:1398640:6.8:0,1:59.48:1869317:6.8:0,1:59.28:1496258:6.8:0
STX_120619C54,3:58.08,3:57.67,3:57.84,3:58.12:1709504:4.45:0,3:58.79:1540559:4.5:3,6:58.25:1438939:4.5:0,6:57.97:1694140:4.5:0,6:58.13:1515242:4.35:10,16:58.21:1281163:4.35:0,16:59.08:2369860:4.35:0,16:60.09:2713989:4.35:0,16:59.61:1398640:4.35:0,16:59.48:1869317:4.5:0,16:59.28:1496258:4.5:0
STX_120619C54.5,0:58.08,0:57.67,0:57.84,0:58.12:1709504:0.0:0,0:58.79:1540559:0.0:0,0:58.25:1438939:0.0:0,0:57.97:1694140:0.0:0,0:58.13:1515242:0.0:0,0:58.21:1281163:0.0:0,0:59.08:2369860:0.0:0,0:60.09:2713989:0.0:0,0:59.61:1398640:0.0:0,0:59.48:1869317:0.0:0,[0:59.28:1496258:0.0:0
STX_120619C55,0:58.08,0:57.67,0:57.84,0:58.12:1709504:3.85:8,8:58.79:1540559:3.85:0,8:58.25:1438939:3.85:0,8:57.97:1694140:3.85:0,8:58.13:1515242:3.85:0,8:58.21:1281163:3.65:2,10:59.08:2369860:3.65:0,10:60.09:2713989:3.65:0,10:59.61:1398640:3.65:0,10:59.48:1869317:3.65:0,[10:59.28:1496258:3.65:0
STX_120619C55.5,0:58.08,0:57.67,0:57.84,0:58.12:1709504:3.45:8,8:58.79:1540559:3.45:0,8:58.25:1438939:3.45:0,8:57.97:1694140:3.45:0,8:58.13:1515242:3.45:0,8:58.21:1281163:3.45:0,8:59.08:2369860:3.45:0,8:60.09:2713989:3.45:0,8:59.61:1398640:3.45:0,8:59.48:1869317:3.45:0,[8:59.28:1496258:3.45:0
STX_120619C56,2:58.08,2:57.67,2:57.84,8:58.12:1709504:2.95:0,8:58.79:1540559:2.95:0,8:58.25:1438939:2.95:0,8:57.97:1694140:2.95:0,8:58.13:1515242:2.95:0,8:58.21:1281163:2.95:0,8:59.08:2369860:2.95:0,8:60.09:2713989:2.95:0,8:59.61:1398640:2.95:0,8:59.48:1869317:2.95:0,[8:59.28:1496258:2.95:0
STX_120619C56.5,0:58.08,0:57.67,0:57.84,0:58.12:1709504:0.0:0,0:58.79:1540559:0.0:0,0:58.25:1438939:0.0:0,0:57.97:1694140:0.0:0,0:58.13:1515242:0.0:0,0:58.21:1281163:0.0:0,0:59.08:2369860:0.0:0,0:60.09:2713989:0.0:0,0:59.61:1398640:3.65:12,12:59.48:1869317:3.65:0,[12:59.28:1496258:3.65:0
STX_120619C57,0:58.08,0:57.67,0:57.84,2:58.12:1709504:2.39:6,8:58.79:1540559:2.7:2,6:58.25:1438939:2.7:0,6:57.97:1694140:2.7:0,6:58.13:1515242:2.7:0,6:58.21:1281163:2.7:0,6:59.08:2369860:2.65:5,11:60.09:2713989:2.65:0,11:59.61:1398640:2.95:1,12:59.48:1869317:2.95:0,[12:59.28:1496258:2.48:5
STX_120619C57.5,3:58.08,2:57.67,4:57.84,4:58.12:1709504:1.97:0,4:58.79:1540559:2.03:3,7:58.25:1438939:2.03:0,7:57.97:1694140:2.03:0,7:58.13:1515242:2.03:0,7:58.21:1281163:2.03:0,7:59.08:2369860:2.03:0,7:60.09:2713989:2.03:0,7:59.61:1398640:2.74:1,8:59.48:1869317:2.74:0,[8:59.28:1496258:2.74:0
STX_120619C58,4:58.08,4:57.67,4:57.84,4:58.12:1709504:1.9:0,4:58.79:1540559:1.9:0,4:58.25:1438939:1.9:0,4:57.97:1694140:1.9:0,4:58.13:1515242:1.35:2,6:58.21:1281163:1.54:5,11:59.08:2369860:1.54:0,11:60.09:2713989:1.54:0,11:59.61:1398640:2.05:2,11:59.48:1869317:2.05:0,[11:59.28:1496258:1.84:2
STX_120619C58.5,2:58.08,2:57.67,2:57.84,2:58.12:1709504:1.68:11,13:58.79:1540559:1.68:0,13:58.25:1438939:1.68:0,13:57.97:1694140:1.68:0,13:58.13:1515242:1.2:18,19:58.21:1281163:1.24:8,25:59.08:2369860:1.24:0,25:60.09:2713989:2.64:1,25:59.61:1398640:2.64:0,25:59.48:1869317:2.64:0,[25:59.28:1496258:1.53:14
STX_120619C59,0:58.08,1:57.67,1:57.84,1:58.12:1709504:1.22:0,1:58.79:1540559:1.38:9,10:58.25:1438939:1.26:262,257:57.97:1694140:1.26:0,257:58.13:1515242:0.98:23,266:58.21:1281163:0.97:8,272:59.08:2369860:1.13:200,258:60.09:2713989:1.13:0,258:59.61:1398640:1.58:50,258:59.48:1869317:1.46:7,[263:59.28:1496258:1.18:120
STX_120619C59.5,0:58.08,0:57.67,0:57.84,0:58.12:1709504:0.0:0,0:58.79:1540559:1.23:14,14:58.25:1438939:1.23:0,14:57.97:1694140:1.23:0,14:58.13:1515242:1.23:0,14:58.21:1281163:1.23:0,14:59.08:2369860:1.18:17,29:60.09:2713989:1.18:0,31:59.61:1398640:1.19:4,31:59.48:1869317:1.15:3,[32:59.28:1496258:0.93:1
STX_120619C60,15:58.08,20:57.67,22:57.84,22:58.12:1709504:0.79:0,22:58.79:1540559:1.0:23,26:58.25:1438939:1.0:0,26:57.97:1694140:1.0:0,26:58.13:1515242:0.56:2,26:58.21:1281163:0.61:3,29:59.08:2369860:0.96:28,52:60.09:2713989:1.63:39,89:59.61:1398640:0.92:33,94:59.48:1869317:0.93:37,[91:59.28:1496258:0.72:24
STX_120619C60.5,0:58.08,60:57.67,60:57.84,61:58.12:1709504:0.75:2,61:58.79:1540559:0.63:10,66:58.25:1438939:0.63:0,66:57.97:1694140:0.63:0,66:58.13:1515242:0.43:2,66:58.21:1281163:0.43:0,66:59.08:2369860:0.43:0,66:60.09:2713989:1.09:8,82:59.61:1398640:0.88:60,142:59.48:1869317:0.88:0,[142:59.28:1496258:0.51:25
STX_120619C61,0:58.08,23:57.67,28:57.84,28:58.12:1709504:0.61:10,43:58.79:1540559:0.69:24,66:58.25:1438939:0.69:0,66:57.97:1694140:0.69:0,66:58.13:1515242:0.31:20,66:58.21:1281163:0.31:0,66:59.08:2369860:0.49:5,70:60.09:2713989:0.87:23,97:59.61:1398640:0.67:4,97:59.48:1869317:0.67:0,[97:59.28:1496258:0.45:12
STX_120619C61.5,0:58.08,0:57.67,8:57.84,8:58.12:1709504:0.51:0,13:58.79:1540559:0.51:0,13:58.25:1438939:0.51:0,13:57.97:1694140:0.51:0,13:58.13:1515242:0.51:0,13:58.21:1281163:0.51:0,13:59.08:2369860:0.51:0,13:60.09:2713989:0.64:5,30:59.61:1398640:0.63:0,30:59.48:1869317:0.48:3,[33:59.28:1496258:0.48:0
STX_120619C62,1:58.08,1:57.67,1:57.84,1:58.12:1709504:0.4:3,9:58.79:1540559:0.41:3,11:58.25:1438939:0.41:0,11:57.97:1694140:0.41:0,11:58.13:1515242:0.41:0,11:58.21:1281163:0.2:1,11:59.08:2369860:0.23:3,14:60.09:2713989:0.53:13,10:59.61:1398640:0.39:10,15:59.48:1869317:0.32:101,[107:59.28:1496258:0.25:4
STX_120619C62.5,0:58.08,0:57.67,0:57.84,0:58.12:1709504:0.3:2,2:58.79:1540559:0.3:0,2:58.25:1438939:0.3:0,2:57.97:1694140:0.3:0,2:58.13:1515242:0.3:0,2:58.21:1281163:0.16:3,5:59.08:2369860:0.21:3,4:60.09:2713989:0.4:14,8:59.61:1398640:0.26:5,10:59.48:1869317:0.26:0,[10:59.28:1496258:0.26:0
STX_120619C63,1:58.08,1:57.67,1:57.84,1:58.12:1709504:0.38:0,1:58.79:1540559:0.38:0,1:58.25:1438939:0.38:0,1:57.97:1694140:0.38:0,1:58.13:1515242:0.38:0,1:58.21:1281163:0.1:1,1:59.08:2369860:0.1:0,1:60.09:2713989:0.3:57,47:59.61:1398640:0.31:0,47:59.48:1869317:0.2:3,[50:59.28:1496258:0.2:0
STX_121319C53.5,0:58.08,6:57.67,6:57.84,6:58.12:1709504:5.2:0,6:58.79:1540559:5.2:0,6:58.25:1438939:5.2:0,6:57.97:1694140:5.2:0,6:58.13:1515242:5.2:0,6:58.21:1281163:5.2:0,6:59.08:2369860:5.2:0,6:60.09:2713989:5.2:0,6:59.61:1398640:5.2:0,6:59.48:1869317:5.2:0,6:59.28:1496258:5.2:0
STX_121319C54,16:58.08,16:57.67,16:57.84,16:58.12:1709504:4.75:0,16:58.79:1540559:4.75:0,16:58.25:1438939:4.75:0,16:57.97:1694140:4.75:0,16:58.13:1515242:4.62:2,18:58.21:1281163:4.62:0,18:59.08:2369860:4.62:0,18:60.09:2713989:4.62:0,18:59.61:1398640:4.62:0,18:59.48:1869317:4.62:0,18:59.28:1496258:4.62:0
STX_121319C54.5,0:58.08,1:57.67,1:57.84,1:58.12:1709504:3.93:0,1:58.79:1540559:3.93:0,1:58.25:1438939:3.93:0,1:57.97:1694140:3.93:0,1:58.13:1515242:3.93:0,1:58.21:1281163:3.93:0,1:59.08:2369860:3.93:0,1:60.09:2713989:3.93:0,1:59.61:1398640:3.93:0,1:59.48:1869317:3.93:0,[1:59.28:1496258:3.93:0
STX_121319C55,14:58.08,17:57.67,17:57.84,17:58.12:1709504:3.42:0,17:58.79:1540559:3.42:0,17:58.25:1438939:3.42:0,17:57.97:1694140:3.42:0,17:58.13:1515242:3.42:0,17:58.21:1281163:3.42:0,17:59.08:2369860:4.55:3,17:60.09:2713989:4.55:0,17:59.61:1398640:5.17:0,17:59.48:1869317:5.17:0,[17:59.28:1496258:5.17:0
STX_121319C55.5,13:58.08,13:57.67,13:57.84,13:58.12:1709504:3.75:0,13:58.79:1540559:3.75:0,13:58.25:1438939:3.75:0,13:57.97:1694140:3.75:0,13:58.13:1515242:3.75:0,13:58.21:1281163:3.75:0,13:59.08:2369860:3.75:0,13:60.09:2713989:3.75:0,13:59.61:1398640:3.75:0,13:59.48:1869317:3.75:0,[13:59.28:1496258:3.75:0
STX_121319C56,1:58.08,2:57.67,2:57.84,2:58.12:1709504:3.05:0,2:58.79:1540559:3.05:0,2:58.25:1438939:3.05:0,2:57.97:1694140:3.05:0,2:58.13:1515242:3.05:0,2:58.21:1281163:2.91:5,7:59.08:2369860:2.91:0,7:60.09:2713989:2.91:0,7:59.61:1398640:2.91:0,7:59.48:1869317:2.91:0,[7:59.28:1496258:2.91:0
STX_121319C56.5,0:58.08,0:57.67,0:57.84,0:58.12:1709504:3.12:4,4:58.79:1540559:3.12:0,4:58.25:1438939:3.12:0,4:57.97:1694140:3.12:0,4:58.13:1515242:3.12:0,4:58.21:1281163:3.12:0,4:59.08:2369860:3.12:0,4:60.09:2713989:3.12:0,4:59.61:1398640:3.12:0,4:59.48:1869317:3.12:0,[4:59.28:1496258:3.15:24
STX_121319C57,0:58.08,0:57.67,20:57.84,20:58.12:1709504:2.45:0,20:58.79:1540559:2.45:0,20:58.25:1438939:2.45:0,20:57.97:1694140:2.54:3,23:58.13:1515242:2.54:0,23:58.21:1281163:2.41:10,23:59.08:2369860:2.41:0,23:60.09:2713989:2.41:0,23:59.61:1398640:3.32:2,25:59.48:1869317:3.32:0,[25:59.28:1496258:3.32:0
STX_121319C57.5,18:58.08,18:57.67,18:57.84,18:58.12:1709504:2.45:0,18:58.79:1540559:2.45:0,18:58.25:1438939:2.24:26,44:57.97:1694140:2.24:0,44:58.13:1515242:2.24:0,44:58.21:1281163:2.24:0,44:59.08:2369860:2.24:0,44:60.09:2713989:3.45:4,49:59.61:1398640:3.07:0,49:59.48:1869317:2.77:1,[49:59.28:1496258:2.39:8
