Symbol,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CHU_011720P13,U,U,U,1:9.12:278016:3.0:0,1:9.08:252437:3.0:0,1:39.01:880276:3.0:0,1:9.29:681472:3.0:0,1:9.2:216083:3.0:0,1:9.18:284446:3.0:0,[1:9.07:289894:3.0:0
CHU_011720P14,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,0:39.01:880276:0.0:0,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720P15,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,0:39.01:880276:0.0:0,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720P16,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,0:39.01:880276:0.0:0,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720P17,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,0:39.01:880276:0.0:0,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720P18,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,0:39.01:880276:0.0:0,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720P19,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,0:39.01:880276:0.0:0,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720P3,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,0:39.01:880276:0.0:0,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720P4,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276:::39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720P5,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,0:39.01:880276:0.0:0,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720P6,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720P7,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,0:39.01:880276:0.0:0,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720P8,U,U,U,2:9.12:278016:0.08:0,2:9.08:252437:0.08:0,2:39.01:880276:0.08:0,2:9.29:681472:0.08:0,2:9.2:216083:0.08:0,2:9.18:284446:0.08:0,[2:9.07:289894:0.08:0
CHU_011720P9,U,U,U,3061:9.12:278016:0.45:0,3061:9.08:252437:0.3:12,3061:39.01:880276:0.3:0,3061:9.29:681472:0.3:0,3061:9.2:216083:0.3:0,3061:9.18:284446:0.3:0,[3061:9.07:289894:0.3:0
