Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ABEV_122019C2.5,0:4.37,0:4.36,0:4.36,0:4.3,5,5:4.36,5:4.39,5:4.26,5:4.26:15727661:1.87:0,5:4.13:19921310:1.87:0,5:4.2:11275522:1.87:0,5:4.13:10432826:1.87:0,5:4.14:12893199:1.87:0,5:4.15:22570117:1.87:0,5:4.19:4046232:1.87:0,5:4.13:9120245:1.87:0,:89.02:7469818:U:U,5:4.2:8437504:1.87:0,5:4.28:14742534:1.87:0,[5:4.31:26588808:1.87:0
ABEV_122019C5,321:4.37,321:4.36,321:4.36,321:4.3,321,321:4.36,321:4.39,321:4.26,319:4.26:15727661:0.05:0,319:4.13:19921310:0.05:0,319:4.2:11275522:0.05:0,319:4.13:10432826:0.05:0,319:4.14:12893199:0.05:0,319:4.15:22570117:0.05:0,319:4.19:4046232:0.05:0,319:4.13:9120245:0.05:0,:89.02:7469818:U:U,320:4.2:8437504:0.04:2,321:4.28:14742534:0.04:0,[321:4.31:26588808:0.05:1
ABEV_122019C7.5,0:4.37,0:4.36,0:4.36,0:4.3,0,0:4.36,0:4.39,0:4.26,0:4.26:15727661:0.0:0,0:4.13:19921310:0.0:0,0:4.2:11275522:0.0:0,0:4.13:10432826:0.0:0,0:4.14:12893199:0.0:0,0:4.15:22570117:0.0:0,0:4.19:4046232:0.0:0,0:4.13:9120245:0.0:0,:89.02:7469818:U:U,0:4.2:8437504:0.0:0,0:4.28:14742534:0.0:0,[0:4.31:26588808:0.0:0
ABEV_011720C2.5,U,U,U,U,U,U,U,U,U,U,U,U,U,28:4.15:22570117:1.65:0,28:4.19:4046232:1.65:0,28:4.13:9120245:1.65:0,:89.02:7469818:U:U,28:4.2:8437504:1.65:0,28:4.28:14742534:1.75:2,[28:4.31:26588808:1.75:0
ABEV_011720C5,U,U,U,U,U,U,U,U,U,U,U,U,U,729:4.15:22570117:0.04:0,729:4.19:4046232:0.04:0,729:4.13:9120245:0.04:0,:89.02:7469818:U:U,729:4.2:8437504:0.05:4,729:4.28:14742534:0.05:0,[729:4.31:26588808:0.05:0
ABEV_011720C7.5,U,U,U,U,U,U,U,U,U,U,U,U,U,100:4.15:22570117:0.03:0,100:4.19:4046232:0.03:0,100:4.13:9120245:0.03:0,100:89.02:7469818:0.03:0,100:4.2:8437504:0.03:0,100:4.28:14742534:0.03:0,[100:4.31:26588808:0.03:0
