Symbol,20191104,20191106,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
QQQ_112219C206,133:200.2649,200:199.76,198:201.23:15155921:0.33:108,265:200.96:10128652:0.24:42,267:201.54:14695374:0.28:304,472:201.59:15792836:0.23:151,524:201.43:16903669:0.17:208,654:202.91:18151654:0.19:1342,1287:203.07:18408797:0.15:1650,2804:202.07:32364255:0.02:1263,3035:201.7:17883581:0.01:431,[3013:201.83:17186554:0.01:123
QQQ_112219C207,129:200.2649,181:199.76,224:201.23:15155921:0.18:63,266:200.96:10128652:0.15:29,252:201.54:14695374:0.19:43,263:201.59:15792836:0.12:58,288:201.43:16903669:0.09:292,375:202.91:18151654:0.09:352,479:203.07:18408797:0.06:419,876:202.07:32364255:0.01:458,949:201.7:17883581:0.01:14,[938:201.83:17186554:0.01:45
QQQ_112219C207.5,89:200.2649,97:199.76,101:201.23:15155921:0.17:2,101:200.96:10128652:0.17:0,101:201.54:14695374:0.14:9,107:201.59:15792836:0.11:4,111:201.43:16903669:0.07:32,128:202.91:18151654:0.07:50,145:203.07:18408797:0.04:38,196:202.07:32364255:0.01:17,182:201.7:17883581:0.01:0,[182:201.83:17186554:0.01:0
QQQ_112219C208,60:200.2649,76:199.76,86:201.23:15155921:0.12:6,88:200.96:10128652:0.1:18,104:201.54:14695374:0.1:28,118:201.59:15792836:0.09:21,139:201.43:16903669:0.06:29,149:202.91:18151654:0.05:93,172:203.07:18408797:0.04:76,263:202.07:32364255:0.01:19,257:201.7:17883581:0.01:20,[238:201.83:17186554:0.01:8
QQQ_112919C193.5,793:200.2649,773:199.76,801:201.23:15155921:7.27:0,801:200.96:10128652:7.27:0,801:201.54:14695374:7.27:0,801:201.59:15792836:7.27:0,801:201.43:16903669:7.27:0,801:202.91:18151654:9.25:3,802:203.07:18408797:9.25:0,802:202.07:32364255:8.16:10,802:201.7:17883581:8.5:8,802:201.83:17186554:8.19:6
QQQ_112919C194,938:200.2649,921:199.76,920:201.23:15155921:7.6:119,831:200.96:10128652:7.76:130,803:201.54:14695374:8.51:31,803:201.59:15792836:7.84:1,803:201.43:16903669:7.15:11,793:202.91:18151654:8.88:67,803:203.07:18408797:9.61:16,800:202.07:32364255:7.31:10,804:201.7:17883581:7.96:5,807:201.83:17186554:7.85:30
QQQ_112919C194.5,681:200.2649,696:199.76,728:201.23:15155921:7.29:72,800:200.96:10128652:7.04:1,800:201.54:14695374:8.17:2,801:201.59:15792836:7.45:11,812:201.43:16903669:7.45:0,812:202.91:18151654:8.31:10,812:203.07:18408797:9.13:13,803:202.07:32364255:9.13:0,803:201.7:17883581:7.49:4,807:201.83:17186554:7.39:29
QQQ_112919C195,1390:200.2649,1505:199.76,1523:201.23:15155921:6.63:87,1517:200.96:10128652:6.87:2,1516:201.54:14695374:7.69:1,1517:201.59:15792836:6.83:25,1520:201.43:16903669:7.12:108,1451:202.91:18151654:8.1:54,1434:203.07:18408797:8.4:12,1458:202.07:32364255:7.17:59,1478:201.7:17883581:7.01:42,1505:201.83:17186554:6.95:37
QQQ_112919C196,1714:200.2649,1833:199.76,1837:201.23:15155921:6.19:26,1823:200.96:10128652:5.95:49,1833:201.54:14695374:6.7:3,1835:201.59:15792836:6.27:67,1855:201.43:16903669:6.12:11,1856:202.91:18151654:6.82:143,1854:203.07:18408797:7.35:51,1816:202.07:32364255:6.21:62,1828:201.7:17883581:5.9:25,[1840:201.83:17186554:5.71:29
QQQ_112919C197,22722:200.2649,22685:199.76,22686:201.23:15155921:5.24:22,22703:200.96:10128652:5.2:59,22707:201.54:14695374:5.48:21,22695:201.59:15792836:5.36:394,22307:201.43:16903669:5.41:64,22263:202.91:18151654:6.06:148,22332:203.07:18408797:6.53:6,22332:202.07:32364255:5.29:124,22354:201.7:17883581:5.1:193,[22300:201.83:17186554:4.99:270
QQQ_112919C197.5,225:200.2649,277:199.76,363:201.23:15155921:4.94:30,382:200.96:10128652:4.94:0,382:201.54:14695374:5.08:5,377:201.59:15792836:5.07:69,430:201.43:16903669:5.04:16,431:202.91:18151654:5.79:4,433:203.07:18408797:6.04:6,408:202.07:32364255:4.85:101,445:201.7:17883581:4.63:52,[428:201.83:17186554:4.47:46
QQQ_112919C198,1325:200.2649,1302:199.76,1250:201.23:15155921:4.55:910,560:200.96:10128652:4.44:127,675:201.54:14695374:4.5:56,688:201.59:15792836:4.59:218,811:201.43:16903669:4.6:149,855:202.91:18151654:5.28:40,875:203.07:18408797:5.83:308,908:202.07:32364255:4.48:436,1037:201.7:17883581:4.26:102,[1036:201.83:17186554:4.13:407
QQQ_112919C199,2896:200.2649,3067:199.76,3178:201.23:15155921:3.63:1148,2477:200.96:10128652:3.56:74,2454:201.54:14695374:3.91:141,2335:201.59:15792836:3.85:3,2337:201.43:16903669:3.83:26,2338:202.91:18151654:4.42:1022,3110:203.07:18408797:4.74:64,3058:202.07:32364255:3.75:473,3029:201.7:17883581:3.29:425,[3287:201.83:17186554:3.21:301
QQQ_112919C200,4389:200.2649,4478:199.76,4432:201.23:15155921:3.25:668,4639:200.96:10128652:2.97:226,4716:201.54:14695374:3.1:334,4597:201.59:15792836:3.28:270,4612:201.43:16903669:3.1:545,4925:202.91:18151654:3.77:503,4793:203.07:18408797:3.84:286,4884:202.07:32364255:3.02:776,5014:201.7:17883581:2.59:1300,[5726:201.83:17186554:2.41:1417
QQQ_112919C201,557:200.2649,621:199.76,2517:201.23:15155921:2.63:327,2627:200.96:10128652:2.37:464,2890:201.54:14695374:2.65:2449,1665:201.59:15792836:2.46:615,1967:201.43:16903669:2.49:1249,2473:202.91:18151654:2.95:538,2565:203.07:18408797:3.08:2889,2998:202.07:32364255:2.25:2782,3908:201.7:17883581:1.95:1372,[4362:201.83:17186554:1.67:3125
QQQ_112919C202,4063:200.2649,4166:199.76,4402:201.23:15155921:2.0:503,4399:200.96:10128652:1.82:216,4435:201.54:14695374:2.04:3641,7122:201.59:15792836:2.0:4227,8239:201.43:16903669:1.88:728,8268:202.91:18151654:2.24:2776,7060:203.07:18408797:2.37:1112,7208:202.07:32364255:1.59:4050,7870:201.7:17883581:1.33:7097,[11104:201.83:17186554:1.07:12898
QQQ_112919C202.5,1135:200.2649,1256:199.76,1464:201.23:15155921:1.68:20,1473:200.96:10128652:1.5:36,1505:201.54:14695374:1.66:82,1565:201.59:15792836:1.7:65,1541:201.43:16903669:1.57:444,1740:202.91:18151654:1.99:1559,2603:203.07:18408797:2.0:2705,4865:202.07:32364255:1.28:2078,5142:201.7:17883581:1.04:3438,[3561:201.83:17186554:0.77:4466
QQQ_112919C203,610:200.2649,716:199.76,1324:201.23:15155921:1.55:224,1335:200.96:10128652:1.33:158,1339:201.54:14695374:1.56:176,1363:201.59:15792836:1.47:226,1443:201.43:16903669:1.37:229,1526:202.91:18151654:1.67:333,1695:203.07:18408797:1.74:6167,5507:202.07:32364255:1.02:4973,4952:201.7:17883581:0.85:4048,[6298:201.83:17186554:0.56:2742
QQQ_112919C204,1266:200.2649,1390:199.76,1522:201.23:15155921:1.14:24,1528:200.96:10128652:0.97:80,1547:201.54:14695374:1.11:280,1644:201.59:15792836:1.03:156,1645:201.43:16903669:0.96:428,1925:202.91:18151654:1.14:410,2014:203.07:18408797:1.17:1109,2176:202.07:32364255:0.63:4528,3757:201.7:17883581:0.45:1258,[3859:201.83:17186554:0.25:2531
QQQ_112919C205,703:200.2649,736:199.76,910:201.23:15155921:0.78:100,959:200.96:10128652:0.68:193,1055:201.54:14695374:0.78:290,1209:201.59:15792836:0.7:128,1258:201.43:16903669:0.63:238,1350:202.91:18151654:0.77:580,1795:203.07:18408797:0.76:4774,5326:202.07:32364255:0.31:1603,5789:201.7:17883581:0.23:3772,[8697:201.83:17186554:0.09:1855
