Symbol,20191024,20191025,20191028,20191029,20191030,20191031,20191101,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
BIG_011720P25,U,U,U,U,U,U,U,U,U,U,U,U,U,U,309:21.1:1079809:4.33:0,309:21.04:722354:4.33:0,309:20.68:974406:4.82:1,308:19.33:1827537:6.11:10,317:19.27:793725:6.11:0,317:19.61:1604594:5.8:11,[306:19.42:1072160:5.9:6
BIG_011720P27.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,477:21.1:1079809:6.6:0,477:21.04:722354:6.6:0,477:20.68:974406:6.6:0,477:19.33:1827537:6.6:0,477:19.27:793725:6.6:0,477:19.61:1604594:8.8:2,[477:19.42:1072160:8.8:0
BIG_011720P30,U,U,U,U,U,U,U,U,U,U,U,U,U,U,329:21.1:1079809:8.84:0,329:21.04:722354:8.84:0,329:20.68:974406:8.84:0,329:19.33:1827537:10.95:3,329:19.27:793725:10.95:0,329:19.61:1604594:10.95:0,[329:19.42:1072160:10.95:0
BIG_011720P32.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,169:21.1:1079809:11.2:0,169:21.04:722354:11.2:0,169:20.68:974406:11.2:0,169:19.33:1827537:11.2:0,169:19.27:793725:11.2:0,169:19.61:1604594:11.2:0,[169:19.42:1072160:11.2:0
BIG_011720P35,U,U,U,U,U,U,U,U,U,U,U,U,U,U,81:21.1:1079809:13.28:0,81:21.04:722354:13.28:0,81:20.68:974406:13.28:0,81:19.33:1827537:16.0:10,71:19.27:793725:16.0:0,71:19.61:1604594:16.0:0,[71:19.42:1072160:16.0:0
BIG_011720P37.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,17:21.1:1079809:11.8:0,17:21.04:722354:11.8:0,17:20.68:974406:11.8:0,17:19.33:1827537:11.8:0,17:19.27:793725:11.8:0,17:19.61:1604594:11.8:0,[17:19.42:1072160:11.8:0
BIG_011720P40,U,U,U,U,U,U,U,U,U,U,U,U,U,U,26:21.1:1079809:17.57:0,26:21.04:722354:17.57:0,26:20.68:974406:17.57:0,26:19.33:1827537:21.0:8,18:19.27:793725:21.0:0,18:19.61:1604594:21.0:0,[18:19.42:1072160:21.0:0
BIG_011720P42.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,21:21.1:1079809:13.97:0,21:21.04:722354:13.97:0,21:20.68:974406:13.97:0,21:19.33:1827537:13.97:0,21:19.27:793725:13.97:0,21:19.61:1604594:13.97:0,[21:19.42:1072160:13.97:0
BIG_011720P45,U,U,U,U,U,U,U,U,U,U,U,U,U,U,49:21.1:1079809:13.75:0,49:21.04:722354:13.75:0,49:20.68:974406:13.75:0,49:19.33:1827537:13.75:0,49:19.27:793725:13.75:0,49:19.61:1604594:13.75:0,[49:19.42:1072160:13.75:0
BIG_011720P47.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,7:21.1:1079809:20.5:0,7:21.04:722354:20.5:0,7:20.68:974406:20.5:0,7:19.33:1827537:20.5:0,7:19.27:793725:20.5:0,7:19.61:1604594:20.5:0,[7:19.42:1072160:20.5:0
BIG_011720P50,U,U,U,U,U,U,U,U,U,U,U,U,U,U,48:21.1:1079809:20.3:0,48:21.04:722354:20.3:0,48:20.68:974406:20.3:0,48:19.33:1827537:20.3:0,48:19.27:793725:20.3:0,48:19.61:1604594:20.3:0,[48:19.42:1072160:20.3:0
BIG_011720P52.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1:21.1:1079809:23.5:0,1:21.04:722354:23.5:0,1:20.68:974406:23.5:0,1:19.33:1827537:23.5:0,1:19.27:793725:23.5:0,1:19.61:1604594:23.5:0,[1:19.42:1072160:23.5:0
BIG_011720P55,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:21.1:1079809:0.0:0,0:21.04:722354:0.0:0,0:20.68:974406:0.0:0,0:19.33:1827537:0.0:0,0:19.27:793725:0.0:0,0:19.61:1604594:0.0:0,[0:19.42:1072160:0.0:0
BIG_011720P60,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:21.1:1079809:0.0:0,0:21.04:722354:0.0:0,0:20.68:974406:0.0:0,0:19.33:1827537:0.0:0,0:19.27:793725:0.0:0,0:19.61:1604594:0.0:0,[0:19.42:1072160:0.0:0
