Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
TEL_122019P130,0:94.45,0:94.56,0:93.94,0:94.01:1305290:0.0:0,0:93.9:901271:0.0:0,0:93.63:581470:0.0:0,0:93.18:1111013:0.0:0,0:93.64:1312050:0.0:0,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_122019P135,0:94.45,0:94.56,0:93.94,0:94.01:1305290:0.0:0,0:93.9:901271:0.0:0,0:93.63:581470:0.0:0,0:93.18:1111013:0.0:0,0:93.64:1312050:0.0:0,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_011720P100,U,U,U,U,U,U,U,U,1:92.9:693263:8.6:0,1:93.1:1267725:8.6:0,1:92.45:1813096:8.6:0,1:91.83:963901:8.6:0,1:90.85:1176541:8.6:0,[1:90.59:817090:8.6:0
TEL_011720P105,U,U,U,U,U,U,U,U,3:92.9:693263:17.1:0,3:93.1:1267725:17.1:0,3:92.45:1813096:17.1:0,3:91.83:963901:17.1:0,3:90.85:1176541:17.1:0,[0:90.59:817090:17.1:0
TEL_011720P110,U,U,U,U,U,U,U,U,1:92.9:693263:18.4:0,1:93.1:1267725:18.4:0,1:92.45:1813096:18.4:0,1:91.83:963901:18.4:0,1:90.85:1176541:18.4:0,[0:90.59:817090:18.4:0
TEL_011720P115,U,U,U,U,U,U,U,U,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_011720P120,U,U,U,U,U,U,U,U,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_011720P125,U,U,U,U,U,U,U,U,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_011720P130,U,U,U,U,U,U,U,U,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_011720P50,U,U,U,U,U,U,U,U,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_011720P55,U,U,U,U,U,U,U,U,1:92.9:693263:0.2:0,1:93.1:1267725:0.2:0,1:92.45:1813096:0.2:0,1:91.83:963901:0.2:0,1:90.85:1176541:0.2:0,[1:90.59:817090:0.2:0
TEL_011720P60,U,U,U,U,U,U,U,U,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_011720P65,U,U,U,U,U,U,U,U,11:92.9:693263:0.6:0,11:93.1:1267725:0.6:0,11:92.45:1813096:0.6:0,11:91.83:963901:0.6:0,11:90.85:1176541:0.6:0,[11:90.59:817090:0.6:0
TEL_011720P70,U,U,U,U,U,U,U,U,4:92.9:693263:1.0:0,4:93.1:1267725:1.0:0,4:92.45:1813096:1.0:0,4:91.83:963901:1.0:0,4:90.85:1176541:1.0:0,[4:90.59:817090:1.0:0
TEL_011720P75,U,U,U,U,U,U,U,U,448:92.9:693263:0.65:0,448:93.1:1267725:0.65:0,448:92.45:1813096:0.65:0,448:91.83:963901:0.65:0,448:90.85:1176541:0.65:0,[448:90.59:817090:0.65:0
TEL_011720P80,U,U,U,U,U,U,U,U,119:92.9:693263:0.32:0,119:93.1:1267725:0.32:0,119:92.45:1813096:0.32:0,119:91.83:963901:0.32:0,119:90.85:1176541:0.32:0,[119:90.59:817090:0.32:0
TEL_011720P85,U,U,U,U,U,U,U,U,268:92.9:693263:0.72:0,268:93.1:1267725:0.72:0,268:92.45:1813096:0.72:0,268:91.83:963901:0.72:0,268:90.85:1176541:0.72:0,[268:90.59:817090:0.72:0
TEL_011720P90,U,U,U,U,U,U,U,U,441:92.9:693263:1.75:32,417:93.1:1267725:1.75:0,417:92.45:1813096:2.1:26,459:91.83:963901:2.19:6,456:90.85:1176541:2.19:0,[456:90.59:817090:2.19:0
TEL_011720P95,U,U,U,U,U,U,U,U,108:92.9:693263:3.7:35,143:93.1:1267725:3.9:5,148:92.45:1813096:3.9:0,148:91.83:963901:4.7:7,148:90.85:1176541:4.7:0,[148:90.59:817090:4.7:0
