Symbol,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
UI_011720P160,U,U,U,214:188.17:307469:3.55:0,214:188.31:252251:3.55:0,214:192.39:214924:3.55:0,214:192.51:209434:1.95:9,215:194.32:134737:1.95:0,[215:193.73:159703:1.95:0
UI_011720P165,U,U,U,232:188.17:307469:3.2:5,232:188.31:252251:3.2:0,232:192.39:214924:2.2:11,241:192.51:209434:2.68:12,240:194.32:134737:2.68:0,[240:193.73:159703:2.68:0
UI_011720P170,U,U,U,54:188.17:307469:5.33:0,54:188.31:252251:4.0:7,58:192.39:214924:2.95:27,42:192.51:209434:3.47:1,43:194.32:134737:3.47:0,[43:193.73:159703:2.88:1
UI_011720P175,U,U,U,20:188.17:307469:6.9:1,21:188.31:252251:6.9:0,21:192.39:214924:6.9:0,16:192.51:209434:4.55:0,16:194.32:134737:4.55:0,[16:193.73:159703:3.79:1
UI_011720P180,U,U,U,12:188.17:307469:8.3:6,18:188.31:252251:6.6:5,19:192.39:214924:5.0:3,19:192.51:209434:6.08:1,20:194.32:134737:6.08:0,[20:193.73:159703:4.9:1
UI_011720P185,U,U,U,1503:188.17:307469:10.2:8,1511:188.31:252251:10.2:0,1511:192.39:214924:6.65:33,1543:192.51:209434:7.2:2,1545:194.32:134737:7.2:0,[1545:193.73:159703:7.2:0
UI_011720P190,U,U,U,1:188.17:307469:14.31:0,1:188.31:252251:10.95:13,13:192.39:214924:10.95:0,750:192.51:209434:10.0:1,751:194.32:134737:8.7:11,[762:193.73:159703:8.32:53
UI_011720P195,U,U,U,0:188.17:307469:0.0:0,0:188.31:252251:0.0:0,0:192.39:214924:11.0:1,1:192.51:209434:12.2:0,1:194.32:134737:10.8:4,[5:193.73:159703:10.8:0
UI_011720P200,U,U,U,0:188.17:307469:29.2:0,0:188.31:252251:29.2:0,0:192.39:214924:29.2:0,0:192.51:209434:29.2:0,0:194.32:134737:29.2:0,[0:193.73:159703:29.2:0
UI_011720P210,U,U,U,0:188.17:307469:0.0:0,0:188.31:252251:0.0:0,0:192.39:214924:0.0:0,0:192.51:209434:0.0:0,0:194.32:134737:0.0:0,[0:193.73:159703:0.0:0
UI_011720P220,U,U,U,0:188.17:307469:0.0:0,0:188.31:252251:0.0:0,0:192.39:214924:0.0:0,0:192.51:209434:0.0:0,0:194.32:134737:0.0:0,[0:193.73:159703:0.0:0
UI_011720P230,U,U,U,0:188.17:307469:0.0:0,0:188.31:252251:0.0:0,0:192.39:214924:0.0:0,0:192.51:209434:0.0:0,0:194.32:134737:0.0:0,[0:193.73:159703:0.0:0
UI_011720P240,U,U,U,2:188.17:307469:84.8:0,2:188.31:252251:84.8:0,2:192.39:214924:84.8:0,2:192.51:209434:84.8:0,2:194.32:134737:84.8:0,[2:193.73:159703:84.8:0
UI_011720P250,U,U,U,1:188.17:307469:94.8:0,1:188.31:252251:94.8:0,1:192.39:214924:94.8:0,1:192.51:209434:94.8:0,1:194.32:134737:94.8:0,[1:193.73:159703:94.8:0
UI_011720P260,U,U,U,U,U,0:192.39:214924:0.0:0,0:192.51:209434:0.0:0,0:194.32:134737:0.0:0,[0:193.73:159703:0.0:0
