Symbol,20191023,20191024,20191025,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
COST_112219C300,142.0,160:297.05,166:296.5,159:298.94,169:295.86,170:299.73,169:297.11,161.0,188:296.82,205:299.18,222:301.57,309:305.21:2399347:7.0:168,206:302.62:1492559:5.3:34,218:300.84:1110020:3.95:115,267:300.5:1439161:3.6:520,453:302.9:1514298:4.86:845,364:304.59:1255483:5.5:148,322:303.66:1613590:5.0:246,351:304.54:1241527:5.35:109,328:302.24:1760759:3.6:238,411:300.66:1153090:2.27:475,526:300.27:1302385:1.3:364,[620:299.31:1277135:0.05:1431
COST_112219C302.5,44.0,47:297.05,45:296.5,30:298.94,38:295.86,49:299.73,53:297.11,57.0,57:296.82,64:299.18,235:301.57,251:305.21:2399347:5.5:137,239:302.62:1492559:3.6:351,396:300.84:1110020:2.6:272,495:300.5:1439161:2.3:286,567:302.9:1514298:3.05:524,554:304.59:1255483:4.08:348,622:303.66:1613590:3.15:420,825:304.54:1241527:3.6:486,717:302.24:1760759:2.06:512,908:300.66:1153090:1.09:1299,860:300.27:1302385:0.37:1581,[1818:299.31:1277135:0.01:2384
COST_112219C305,59.0,59:297.05,64:296.5,74:298.94,88:295.86,88:299.73,94:297.11,93.0,114:296.82,111:299.18,153:301.57,223:305.21:2399347:3.72:535,284:302.62:1492559:2.71:706,397:300.84:1110020:1.6:702,893:300.5:1439161:1.36:1037,929:302.9:1514298:2.1:1478,942:304.59:1255483:2.52:1223,1348:303.66:1613590:1.97:5913,4201:304.54:1241527:2.06:4203,2723:302.24:1760759:1.03:6119,5506:300.66:1153090:0.41:5075,4040:300.27:1302385:0.07:2127,[3392:299.31:1277135:0.01:917
COST_112219C307.5,104.0,111:297.05,116:296.5,115:298.94,124:295.86,127:299.73,131:297.11,146.0,147:296.82,158:299.18,167:301.57,213:305.21:2399347:2.55:507,304:302.62:1492559:1.75:318,342:300.84:1110020:1.01:151,438:300.5:1439161:0.81:683,482:302.9:1514298:1.25:489,629:304.59:1255483:1.54:1024,779:303.66:1613590:1.1:783,980:304.54:1241527:1.02:964,1029:302.24:1760759:0.46:873,1518:300.66:1153090:0.15:821,1557:300.27:1302385:0.02:768,[2049:299.31:1277135:0.01:161
COST_112219C310,152.0,141:297.05,130:296.5,142:298.94,138:295.86,135:299.6801,135:297.11,135.0,135:296.82,127:299.18,203:301.57,248:305.21:2399347:1.78:260,318:302.62:1492559:1.02:204,430:300.84:1110020:0.53:191,513:300.5:1439161:0.35:107,541:302.9:1514298:0.68:1359,809:304.59:1255483:0.8:1413,1028:303.66:1613590:0.55:970,1229:304.54:1241527:0.49:2614,1928:302.24:1760759:0.16:899,1822:300.66:1153090:0.05:342,1739:300.27:1302385:0.03:141,[1649:299.31:1277135:0.01:54
COST_112219C312.5,32.0,40:297.05,40:296.5,40:298.94,38:295.86,31:299.69,34:297.11,37.0,35:296.82,38:299.18,40:301.57,39:305.21:2399347:1.1:116,113:302.62:1492559:0.58:143,184:300.84:1110020:0.25:75,213:300.5:1439161:0.2:45,231:302.9:1514298:0.29:72,273:304.59:1255483:0.4:606,595:303.66:1613590:0.27:277,597:304.54:1241527:0.21:609,862:302.24:1760759:0.09:212,859:300.66:1153090:0.03:158,832:300.27:1302385:0.02:31,[812:299.31:1277135:0.01:421
COST_112219C315,103.0,91:297.05,90:296.5,87:298.94,86:295.86,84:299.69,81:297.11,81.0,94:296.82,102:299.18,101:301.57,100:305.21:2399347:0.57:105,102:302.62:1492559:0.29:228,236:300.84:1110020:0.11:25,248:300.5:1439161:0.11:36,269:302.9:1514298:0.19:320,352:304.59:1255483:0.19:236,383:303.66:1613590:0.12:291,499:304.54:1241527:0.1:419,742:302.24:1760759:0.02:110,715:300.66:1153090:0.01:30,702:300.27:1302385:0.02:97,[643:299.31:1277135:0.01:159
COST_112219C317.5,12.0,13:297.05,12:296.5,12:298.94,11:295.86,12:299.69,5:297.11,5.0,7:296.82,7:299.18,7:301.57,7:305.21:2399347:0.43:20,21:302.62:1492559:0.18:113,130:300.84:1110020:0.08:35,160:300.5:1439161:0.08:1,160:302.9:1514298:0.06:22,155:304.59:1255483:0.09:258,291:303.66:1613590:0.05:294,568:304.54:1241527:0.05:181,726:302.24:1760759:0.03:142,864:300.66:1153090:0.03:0,864:300.27:1302385:0.01:10,[857:299.31:1277135:0.01:100
COST_112219C320,46.0,45:297.05,42:296.5,45:298.94,34:295.86,34:299.69,34:297.11,34.0,32:296.82,39:299.18,39:301.57,47:305.21:2399347:0.18:37,67:302.62:1492559:0.13:4,67:300.84:1110020:0.05:9,68:300.5:1439161:0.05:0,68:302.9:1514298:0.03:1,68:304.59:1255483:0.03:63,96:303.66:1613590:0.03:13,97:304.54:1241527:0.05:72,158:302.24:1760759:0.02:11,167:300.66:1153090:0.01:17,157:300.27:1302385:0.01:0,[157:299.31:1277135:0.01:0
COST_112919C272.5,0.0,0:297.05,0:296.5,0:298.94,0:295.86,0:299.69,0:297.11,0.0,0:296.82,0:299.18,0:301.57,0:305.21:2399347:0.0:0,0:302.62:1492559:0.0:0,0:300.84:1110020:0.0:0,0:300.5:1439161:0.0:0,0:302.9:1514298:0.0:0,0:304.59:1255483:0.0:0,0:303.66:1613590:0.0:0,0:304.54:1241527:0.0:0,0:302.24:1760759:0.0:0,0:300.66:1153090:0.0:0,0:300.27:1302385:0.0:0,0:299.31:1277135:0.0:0
COST_112919C275,9.0,9:297.05,10:296.5,10:298.94,10:295.86,10:299.69,10:297.11,10.0,10:296.82,10:299.18,10:301.57,10:305.21:2399347:24.67:0,10:302.62:1492559:29.0:1,10:300.84:1110020:29.0:0,10:300.5:1439161:29.0:0,10:302.9:1514298:29.0:0,10:304.59:1255483:29.0:0,10:303.66:1613590:29.0:0,10:304.54:1241527:30.5:6,10:302.24:1760759:30.5:0,10:300.66:1153090:30.5:0,10:300.27:1302385:30.5:0,[10:299.31:1277135:23.29:4
