Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
TTEK_011720P55,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720P60,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720P65,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720P70,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720P75,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720P80,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720P85,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720P90,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720P95,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_122019P35,U,U,U,U,U,U,U,U,0:83.95:304374:0.0:0,U:85.76:226077:U:U
