Symbol,20191029,20191030,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
PFE_112219C43.5,10:29:2019,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.1:13082409:0.0:0,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_112919C33.5,10:29:2019,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.1:13082409:0.0:0,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_112919C34,10:29:2019,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.1:13082409:0.0:0,0:37.74:19869602:3.35:1,[1:38.33:24233217:3.35:0
PFE_112919C34.5,10:29:2019,2:38.48,0:36.93:11900287:4.25:0,0:36.97:12644366:4.25:0,0:36.6:24554579:4.25:0,0:36.55:23893614:2.1:20,20:37.28:34345742:2.9:20,20:134.06:3619873:2.9:0,30:37.1:13082409:2.98:0,30:37.74:19869602:2.98:0,[30:38.33:24233217:2.98:0
PFE_112919C35,10:29:2019,0:38.48,46:36.93:11900287:2.05:5,51:36.97:12644366:2.05:0,51:36.6:24554579:2.05:0,51:36.55:23893614:1.5:12,63:37.28:34345742:2.34:58,16:134.06:3619873:2.34:0,16:37.1:13082409:2.34:0,16:37.74:19869602:2.34:0,[16:38.33:24233217:2.34:0
PFE_112919C35.5,10:29:2019,0:38.48,1:36.93:11900287:1.55:2,3:36.97:12644366:1.55:0,3:36.6:24554579:1.55:0,3:36.55:23893614:1.55:0,3:37.28:34345742:1.8:1,3:134.06:3619873:1.67:80,3:37.1:13082409:1.67:0,3:37.74:19869602:1.67:0,[3:38.33:24233217:2.29:2
PFE_112919C36,10:29:2019,368:38.48,130:36.93:11900287:1.07:80,209:36.97:12644366:1.07:0,209:36.6:24554579:0.78:163,231:36.55:23893614:0.72:31,251:37.28:34345742:1.36:7,252:134.06:3619873:1.26:83,311:37.1:13082409:1.15:61,306:37.74:19869602:1.78:34,[308:38.33:24233217:2.25:268
PFE_112919C36.5,10:29:2019,48:38.48,55:36.93:11900287:0.73:7,54:36.97:12644366:0.73:0,54:36.6:24554579:0.52:101,143:36.55:23893614:0.43:46,167:37.28:34345742:1.03:78,150:134.06:3619873:0.85:72,174:37.1:13082409:0.75:42,157:37.74:19869602:1.34:26,[148:38.33:24233217:1.9:32
PFE_112919C37,10:29:2019,187:38.48,282:36.93:11900287:0.37:42,289:36.97:12644366:0.46:31,308:36.6:24554579:0.25:280,537:36.55:23893614:0.18:34,529:37.28:34345742:0.6:852,U:134.06:3619873::,893:37.1:13082409:0.43:122,925:37.74:19869602:0.82:191,[901:38.33:24233217:1.35:72
PFE_112919C37.5,10:29:2019,2789:38.48,3956:36.93:11900287:0.21:49,3940:36.97:12644366:0.21:24,3956:36.6:24554579:0.11:78,3922:36.55:23893614:0.1:14,3919:37.28:34345742:0.29:1118,3448:134.06:3619873:0.25:661,3789:37.1:13082409:0.17:517,3783:37.74:19869602:0.45:765,[4055:38.33:24233217:0.94:441
