Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
JBL_112219C40.5,4:38.45,4:38.93,4:39.12,4:39.18:1975398:0.3:1,5:39.26:834553:0.3:0,5:39.59:870370:0.26:4,8:39.1:1020665:0.26:0,8:39.34:929455:0.26:0,8:38.69:1013846:0.07:4,4:39.02:1174741:0.07:0,U:75.43:212417::,4:38.73:1214584:0.05:0,4:38.94:770105:0.05:0,4:38.76:1014804:0.05:0,[4:38.64:777620:0.05:0
JBL_112219C41,1:38.45,1:38.93,1:39.12,1:39.18:1975398:0.05:0,1:39.26:834553:0.05:0,1:39.59:870370:0.05:0,1:39.1:1020665:0.05:0,1:39.34:929455:0.05:0,1:38.69:1013846:0.05:0,1:39.02:1174741:0.05:0,1:75.43:212417:0.05:0,1:38.73:1214584:0.05:0,1:38.94:770105:0.05:0,1:38.76:1014804:0.05:0,[1:38.64:777620:0.05:0
JBL_112219C41.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,U:75.43:212417::,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_112219C42,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.04:2,2:75.43:212417:0.04:0,2:38.73:1214584:0.04:0,2:38.94:770105:0.04:0,2:38.76:1014804:0.04:0,[2:38.64:777620:0.04:0
JBL_112219C43,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_112219C44,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,U:75.43:212417::,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_112919C33.5,1:38.45,1:38.93,1:39.12,1:39.18:1975398:3.4:0,1:39.26:834553:3.4:0,1:39.59:870370:3.4:0,1:39.1:1020665:3.4:0,1:39.34:929455:3.4:0,1:38.69:1013846:3.4:0,1:39.02:1174741:3.4:0,U:75.43:212417::,1:38.73:1214584:3.4:0,1:38.94:770105:3.4:0,1:38.76:1014804:3.4:0,1:38.64:777620:3.4:0
JBL_112919C34,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,U:75.43:212417::,0:38.73:1214584:0.0:0,U:38.94:770105:U:U,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_112919C34.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_112919C35,3:38.45,3:38.93,3:39.12,3:39.18:1975398:2.15:0,3:39.26:834553:2.15:0,3:39.59:870370:2.15:0,3:39.1:1020665:2.15:0,3:39.34:929455:2.15:0,0:38.69:1013846:2.15:0,0:39.02:1174741:2.15:0,0:75.43:212417:2.15:0,0:38.73:1214584:2.15:0,0:38.94:770105:2.15:0,0:38.76:1014804:2.15:0,[0:38.64:777620:2.15:0
