Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CCMP_011720C110,U,U,U,U,76:153.09:199423:10.4:0,76:156.01:249799:10.4:0,76:132.59:883174:10.4:0,76:135.46:469233:10.4:0,76:133.79:174908:10.4:0,76:126.95:726462:10.4:0,[76:128.42:393968:10.4:0
CCMP_011720C115,U,U,U,U,6:153.09:199423:10.74:0,6:156.01:249799:10.74:0,6:132.59:883174:10.74:0,6:135.46:469233:10.74:0,6:133.79:174908:10.74:0,6:126.95:726462:10.74:0,[6:128.42:393968:10.74:0
CCMP_011720C120,U,U,U,U,1:153.09:199423:29.1:0,1:156.01:249799:29.1:0,1:132.59:883174:16.9:11,10:135.46:469233:16.6:10,0:133.79:174908:16.6:0,0:126.95:726462:10.74:3,[3:128.42:393968:10.19:3
CCMP_011720C125,U,U,U,U,5:153.09:199423:10.5:0,5:156.01:249799:10.5:0,5:132.59:883174:10.5:0,5:135.46:469233:10.5:0,5:133.79:174908:10.5:0,5:126.95:726462:8.82:2,[6:128.42:393968:7.2:11
CCMP_011720C130,U,U,U,U,6:153.09:199423:21.0:0,6:156.01:249799:21.0:0,6:132.59:883174:21.0:0,6:135.46:469233:7.5:2,6:133.79:174908:7.5:0,6:126.95:726462:5.22:4,[8:128.42:393968:4.75:2
CCMP_011720C135,U,U,U,U,17:153.09:199423:25.7:0,17:156.01:249799:25.7:0,17:132.59:883174:7.28:1,17:135.46:469233:5.55:13,10:133.79:174908:5.55:0,10:126.95:726462:4.92:1,[10:128.42:393968:4.92:0
CCMP_011720C140,U,U,U,U,26:153.09:199423:12.85:0,26:156.01:249799:12.85:0,26:132.59:883174:4.85:16,41:135.46:469233:3.2:1,42:133.79:174908:3.83:3,42:126.95:726462:2.2:3,[43:128.42:393968:2.0:9
CCMP_011720C145,U,U,U,U,16:153.09:199423:15.9:0,16:156.01:249799:15.71:1,17:132.59:883174:15.71:0,17:135.46:469233:2.2:2,17:133.79:174908:2.2:0,17:126.95:726462:2.2:0,[17:128.42:393968:2.2:0
CCMP_011720C150,U,U,U,U,17:153.09:199423:10.1:1,17:156.01:249799:10.1:0,17:132.59:883174:1.75:26,35:135.46:469233:1.18:3,32:133.79:174908:1.18:0,32:126.95:726462:0.75:1,[33:128.42:393968:0.75:0
CCMP_011720C155,U,U,U,U,26:153.09:199423:9.0:0,26:156.01:249799:9.0:0,26:132.59:883174:0.85:1,25:135.46:469233:0.75:10,25:133.79:174908:0.75:2,25:126.95:726462:0.75:0,[25:128.42:393968:0.75:0
CCMP_011720C160,U,U,U,U,3:153.09:199423:6.4:0,3:156.01:249799:6.4:0,3:132.59:883174:2.25:2,3:135.46:469233:2.25:0,3:133.79:174908:2.25:0,3:126.95:726462:2.25:0,[3:128.42:393968:2.25:0
CCMP_011720C165,U,U,U,U,38:153.09:199423:2.85:0,38:156.01:249799:4.39:2,37:132.59:883174:4.39:0,37:135.46:469233:4.39:0,37:133.79:174908:4.39:0,37:126.95:726462:4.39:0,[37:128.42:393968:4.39:0
CCMP_011720C170,U,U,U,U,0:153.09:199423:0.0:0,0:156.01:249799:0.0:0,0:132.59:883174:0.0:0,0:135.46:469233:0.0:0,0:133.79:174908:0.0:0,0:126.95:726462:0.0:0,[0:128.42:393968:0.0:0
CCMP_011720C175,U,U,U,U,12:153.09:199423:2.4:0,12:156.01:249799:2.4:0,12:132.59:883174:2.4:0,12:135.46:469233:2.4:0,12:133.79:174908:2.4:0,12:126.95:726462:2.4:0,[12:128.42:393968:2.4:0
CCMP_011720C180,U,U,U,U,11:153.09:199423:2.2:0,11:156.01:249799:2.2:0,11:132.59:883174:2.2:0,11:135.46:469233:2.2:0,11:133.79:174908:2.2:0,11:126.95:726462:2.2:0,11:128.42:393968:2.2:0
CCMP_122019C105,U,U,U,U,0:153.09:199423:0.0:0,0:156.01:249799:0.0:0,0:132.59:883174:0.0:0,0:135.46:469233:0.0:0,0:133.79:174908:0.0:0,0:126.95:726462:0.0:0,[0:128.42:393968:0.0:0
CCMP_011720C100,U,U,U,U,U,U,53:132.59:883174:58.47:0,53:135.46:469233:58.47:0,53:133.79:174908:58.47:0,53:126.95:726462:58.47:0,[53:128.42:393968:58.47:0
CCMP_011720C85,U,U,U,U,U,U,0:132.59:883174:0.0:0,0:135.46:469233:0.0:0,0:133.79:174908:0.0:0,0:126.95:726462:0.0:0,[0:128.42:393968:0.0:0
CCMP_011720C90,U,U,U,U,U,U,0:132.59:883174:0.0:0,0:135.46:469233:0.0:0,0:133.79:174908:0.0:0,0:126.95:726462:0.0:0,[0:128.42:393968:0.0:0
CCMP_011720C95,U,U,U,U,U,U,0:132.59:883174:0.0:0,0:135.46:469233:0.0:0,0:133.79:174908:0.0:0,0:126.95:726462:0.0:0,[0:128.42:393968:0.0:0
CCMP_122019C100,U,U,U,U,U,U,0:132.59:883174:0.0:0,0:135.46:469233:0.0:0,0:133.79:174908:30.5:2,0:126.95:726462:30.5:0,[0:128.42:393968:30.5:0
CCMP_011720C80,U,U,U,U,U,U,U,U,U,1:126.95:726462:31.9:0,[1:128.42:393968:31.9:0
