Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CCMP_011720P110,U,U,U,U,0:153.09:199423:0.0:0,0:156.01:249799:0.0:0,0:132.59:883174:1.11:5,5:135.46:469233:1.11:0,5:133.79:174908:1.11:0,5:126.95:726462:1.11:0,[5:128.42:393968:1.7:5
CCMP_011720P115,U,U,U,U,0:153.09:199423:0.0:0,0:156.01:249799:0.0:0,0:132.59:883174:1.5:1,1:135.46:469233:1.5:0,1:133.79:174908:1.5:0,1:126.95:726462:1.5:0,[1:128.42:393968:2.72:1
CCMP_011720P120,U,U,U,U,5:153.09:199423:1.15:0,5:156.01:249799:1.15:0,5:132.59:883174:1.15:0,5:135.46:469233:2.3:7,7:133.79:174908:2.3:0,7:126.95:726462:2.3:0,[7:128.42:393968:2.3:0
CCMP_011720P125,U,U,U,U,0:153.09:199423:0.0:0,0:156.01:249799:0.0:0,0:132.59:883174:0.0:0,0:135.46:469233:0.0:0,0:133.79:174908:0.0:0,0:126.95:726462:5.5:200,[200:128.42:393968:5.5:0
CCMP_011720P130,U,U,U,U,10:153.09:199423:4.9:0,10:156.01:249799:4.9:0,10:132.59:883174:4.9:8,17:135.46:469233:4.5:5,18:133.79:174908:4.5:0,18:126.95:726462:6.58:1,[19:128.42:393968:6.58:0
CCMP_011720P135,U,U,U,U,11:153.09:199423:2.25:0,11:156.01:249799:2.25:0,11:132.59:883174:2.25:0,11:135.46:469233:7.71:11,6:133.79:174908:7.67:2,7:126.95:726462:7.67:0,[7:128.42:393968:7.67:0
CCMP_011720P140,U,U,U,U,36:153.09:199423:3.27:1,36:156.01:249799:3.27:0,36:132.59:883174:9.61:4,36:135.46:469233:9.61:0,36:133.79:174908:9.18:1,35:126.95:726462:9.18:0,[35:128.42:393968:9.18:0
CCMP_011720P145,U,U,U,U,2:153.09:199423:7.1:0,2:156.01:249799:7.1:0,2:132.59:883174:7.1:0,2:135.46:469233:7.1:0,2:133.79:174908:7.1:0,2:126.95:726462:7.1:0,[2:128.42:393968:7.1:0
CCMP_011720P150,U,U,U,U,10:153.09:199423:5.6:0,10:156.01:249799:5.5:1,10:132.59:883174:13.3:1,9:135.46:469233:13.3:0,9:133.79:174908:13.3:0,9:126.95:726462:13.3:0,[9:128.42:393968:13.3:0
CCMP_011720P155,U,U,U,U,14:153.09:199423:12.3:0,14:156.01:249799:12.3:0,14:132.59:883174:12.3:0,14:135.46:469233:12.3:0,14:133.79:174908:12.3:0,14:126.95:726462:12.3:0,[14:128.42:393968:12.3:0
CCMP_011720P160,U,U,U,U,0:153.09:199423:0.0:0,0:156.01:249799:0.0:0,0:132.59:883174:0.0:0,0:135.46:469233:0.0:0,0:133.79:174908:0.0:0,0:126.95:726462:0.0:0,[0:128.42:393968:0.0:0
CCMP_011720P165,U,U,U,U,0:153.09:199423:0.0:0,0:156.01:249799:0.0:0,0:132.59:883174:0.0:0,0:135.46:469233:0.0:0,0:133.79:174908:0.0:0,0:126.95:726462:0.0:0,[0:128.42:393968:0.0:0
