Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
LYFT_112219P47,0:43.23:4860952:0.0:0,0:42.97:3843033:0.0:0,0:42.33:4275770:4.1:1,1:43.3:3993164:4.1:0,1:41.92:8868422:5.5:35,35:43.04:7367330:3.4:5,35:44.86:9068778:2.3:6,38:44.15:3751946:2.82:30,48:43.805:5976349:3.0:40,61:46.76:10832019:0.67:343,U:0:0:U:U
LYFT_112219P47.5,0:43.23:4860952:4.8:2,2:42.97:3843033:4.8:0,2:42.33:4275770:4.8:0,2:43.3:3993164:4.8:0,2:41.92:8868422:4.8:0,2:43.04:7367330:4.8:0,U:44.86:9068778::,16:44.15:3751946:3.45:17,U:43.805:5976349:U:U,13:46.76:10832019:1.05:34,37:0:0:1.22:209
LYFT_112219P48,7:43.23:4860952:5.1:0,7:42.97:3843033:5.1:0,7:42.33:4275770:5.1:0,7:43.3:3993164:5.1:0,7:41.92:8868422:6.1:1,7:43.04:7367330:6.1:0,7:44.86:9068778:2.95:16,16:44.15:3751946:3.75:19,11:43.805:5976349:4.55:2,11:46.76:10832019:1.45:18,18:0:0:1.66:76
LYFT_112919P38.5,26:43.23:4860952:0.49:0,26:42.97:3843033:0.39:37,45:42.33:4275770:0.39:0,45:43.3:3993164:0.39:0,45:41.92:8868422:0.39:0,45:43.04:7367330:0.13:2,47:44.86:9068778:0.04:6,47:44.15:3751946:0.04:0,47:43.805:5976349:0.05:35,47:46.76:10832019:0.02:4,47:0:0:0.02:0
LYFT_112919P39,84:43.23:4860952:0.44:5,81:42.97:3843033:0.37:1,81:42.33:4275770:0.37:0,81:43.3:3993164:0.25:1,80:41.92:8868422:0.25:0,80:43.04:7367330:0.17:8,86:44.86:9068778:0.17:0,:44.15:3751946:U:U,U:43.805:5976349:U:U,90:46.76:10832019:0.03:8,U:0:0:U:U
LYFT_112919P39.5,15:43.23:4860952:0.49:50,61:42.97:3843033:0.49:0,61:42.33:4275770:0.51:3,64:43.3:3993164:0.51:0,64:41.92:8868422:0.57:6,69:43.04:7367330:0.23:2,71:44.86:9068778:0.11:6,77:44.15:3751946:0.1:2,75:43.805:5976349:0.06:14,78:46.76:10832019:0.01:19,77:0:0:0.03:1
LYFT_112919P40,87:43.23:4860952:0.68:5,84:42.97:3843033:0.68:6,84:42.33:4275770:0.6:42,76:43.3:3993164:0.39:45,83:41.92:8868422:0.76:43,97:43.04:7367330:0.31:38,U:44.86:9068778::,111:44.15:3751946:0.12:10,U:43.805:5976349:U:U,164:46.76:10832019:0.02:49,163:0:0:0.01:28
LYFT_112919P40.5,348:43.23:4860952:1.12:0,348:42.97:3843033:0.81:22,354:42.33:4275770:0.52:2,353:43.3:3993164:0.64:1,354:41.92:8868422:1.21:53,359:43.04:7367330:0.38:20,351:44.86:9068778:0.22:101,340:44.15:3751946:0.15:3,340:43.805:5976349:0.14:1,342:46.76:10832019:0.04:6,341:0:0:0.01:16
LYFT_112919P41,111:43.23:4860952:0.84:10,111:42.97:3843033:0.94:9,118:42.33:4275770:0.73:1,118:43.3:3993164:0.73:0,118:41.92:8868422:1.0:44,157:43.04:7367330:0.47:13,151:44.86:9068778:0.17:112,160:44.15:3751946:0.23:35,U:43.805:5976349:U:U,162:46.76:10832019:0.04:183,228:0:0:0.03:28
LYFT_112919P41.5,20:43.23:4860952:1.01:9,25:42.97:3843033:0.93:16,35:42.33:4275770:0.93:0,35:43.3:3993164:0.93:0,35:41.92:8868422:1.35:60,68:43.04:7367330:0.72:37,U:44.86:9068778:0.59:3:44.86:9068778:.5:,101:44.15:3751946:0.32:13,109:43.805:5976349:0.54:7,113:46.76:10832019:0.06:37,104:0:0:0.03:4
LYFT_112919P42,75:43.23:4860952:1.19:42,80:42.97:3843033:1.23:25,90:42.33:4275770:1.13:3,90:43.3:3993164:0.9:17,79:41.92:8868422:1.45:29,85:43.04:7367330:0.8:10,82:44.86:9068778:0.3:10,87:44.15:3751946:0.4:2,88:43.805:5976349:0.59:48,97:46.76:10832019:0.08:83,U:0:0:U:U
LYFT_112919P42.5,44:43.23:4860952:1.58:0,44:42.97:3843033:1.58:0,44:42.33:4275770:1.55:17,56:43.3:3993164:0.98:25,54:41.92:8868422:1.93:9,52:43.04:7367330:1.12:107,U:44.86:9068778::,113:44.15:3751946:0.56:168,U:43.805:5976349:U:U,302:46.76:10832019:0.12:114,262:0:0:0.07:98
LYFT_112919P43,228:43.23:4860952:1.55:5,230:42.97:3843033:1.74:9,229:42.33:4275770:1.67:10,231:43.3:3993164:1.2:34,249:41.92:8868422:2.23:61,225:43.04:7367330:1.32:97,U:44.86:9068778::,292:44.15:3751946:0.66:11,291:43.805:5976349:0.77:66,294:46.76:10832019:0.14:110,U:0:0:U:U
LYFT_112919P43.5,34:43.23:4860952:1.95:1,33:42.97:3843033:1.95:0,33:42.33:4275770:1.95:0,33:43.3:3993164:1.42:6,34:41.92:8868422:2.86:13,40:43.04:7367330:1.57:61,69:44.86:9068778:0.68:11,63:44.15:3751946:0.9:87,114:43.805:5976349:1.02:172,180:46.76:10832019:0.2:43,210:0:0:0.12:17
LYFT_112919P44,45:43.23:4860952:2.45:0,45:42.97:3843033:2.22:22,45:42.33:4275770:2.45:2,47:43.3:3993164:1.7:8,50:41.92:8868422:3.24:27,67:43.04:7367330:1.65:20,74:44.86:9068778:0.84:385,437:44.15:3751946:1.12:245,443:43.805:5976349:1.08:951,500:46.76:10832019:0.3:1854,632:0:0:0.18:298
LYFT_112919P44.5,33:43.23:4860952:2.68:5,33:42.97:3843033:2.4:12,45:42.33:4275770:2.65:1,45:43.3:3993164:2.65:0,45:41.92:8868422:3.7:2,46:43.04:7367330:1.95:86,U:44.86:9068778::,130:44.15:3751946:1.37:70,140:43.805:5976349:1.79:19,128:46.76:10832019:0.38:1870,1346:0:0:0.29:94
LYFT_112919P45,38:43.23:4860952:2.9:8,43:42.97:3843033:2.75:35,45:42.33:4275770:2.99:1,45:43.3:3993164:2.43:1,45:41.92:8868422:2.91:10,50:43.04:7367330:2.25:3,51:44.86:9068778:1.35:283,171:44.15:3751946:1.6:97,U:43.805:5976349:U:U,172:46.76:10832019:0.5:769,633:0:0:0.37:240
LYFT_112919P45.5,11:43.23:4860952:3.4:0,11:42.97:3843033:3.9:26,37:42.33:4275770:3.9:0,37:43.3:3993164:3.9:0,37:41.92:8868422:3.5:10,47:43.04:7367330:3.06:3,47:44.86:9068778:1.53:45,47:44.15:3751946:1.93:8,50:43.805:5976349:1.92:34,77:46.76:10832019:0.68:474,425:0:0:0.52:321
LYFT_112919P46.5,8:43.23:4860952:5.45:0,8:42.97:3843033:5.45:0,8:42.33:4275770:5.45:0,8:43.3:3993164:5.45:0,8:41.92:8868422:5.45:0,8:43.04:7367330:3.2:136,132:44.86:9068778:2.35:15,143:44.15:3751946:2.65:14,140:43.805:5976349:2.62:30,152:46.76:10832019:1.09:310,361:0:0:0.96:553
LYFT_112919P47,12:43.23:4860952:4.6:10,22:42.97:3843033:5.2:31,33:42.33:4275770:5.2:0,33:43.3:3993164:5.2:0,33:41.92:8868422:5.2:1,32:43.04:7367330:5.2:0,32:44.86:9068778:2.34:1,31:44.15:3751946:3.2:12,38:43.805:5976349:3.2:0,38:46.76:10832019:1.45:162,93:0:0:1.24:30
LYFT_112919P48,44:43.23:4860952:5.4:1,44:42.97:3843033:5.4:0,44:42.33:4275770:5.4:0,44:43.3:3993164:5.4:0,44:41.92:8868422:5.4:0,44:43.04:7367330:4.35:2,44:44.86:9068778:3.15:10,54:44.15:3751946:4.15:11,53:43.805:5976349:3.95:11,64:46.76:10832019:2.01:15,U:0:0:U:U
LYFT_112919P48.5,0:43.23:4860952:0.0:0,0:42.97:3843033:0.0:0,0:42.33:4275770:0.0:0,0:43.3:3993164:0.0:0,0:41.92:8868422:0.0:0,0:43.04:7367330:4.8:8,8:44.86:9068778:3.6:40,48:44.15:3751946:3.6:0,U:43.805:5976349:U:U,48:46.76:10832019:2.52:34,35:0:0:2.3:7
LYFT_112919P49,0:43.23:4860952:0.0:0,0:42.97:3843033:0.0:0,0:42.33:4275770:0.0:0,0:43.3:3993164:0.0:0,0:41.92:8868422:0.0:0,0:43.04:7367330:0.0:0,0:44.86:9068778:0.0:0,0:44.15:3751946:5.2:18,18:43.805:5976349:5.2:0,18:46.76:10832019:5.2:0,18:0:0:2.61:23
LYFT_120619P38.5,12:43.23:4860952:0.59:1,12:42.97:3843033:0.64:1,12:42.33:4275770:0.39:10,22:43.3:3993164:0.39:0,22:41.92:8868422:0.81:15,25:43.04:7367330:0.28:10,25:44.86:9068778:0.28:0,:44.15:3751946:U:U,25:43.805:5976349:0.15:10,31:46.76:10832019:0.15:0,31:0:0:0.15:0
LYFT_120619P39,61:43.23:4860952:0.77:0,61:42.97:3843033:0.77:0,61:42.33:4275770:0.77:0,61:43.3:3993164:0.77:0,61:41.92:8868422:0.75:1,61:43.04:7367330:0.35:10,71:44.86:9068778:0.19:11,71:44.15:3751946:0.16:5,71:43.805:5976349:0.16:0,71:46.76:10832019:0.07:2,73:0:0:0.06:1
LYFT_120619P39.5,13:43.23:4860952:0.88:0,13:42.97:3843033:0.87:2,13:42.33:4275770:0.73:2,14:43.3:3993164:0.65:1,13:41.92:8868422:0.82:4,17:43.04:7367330:0.49:3,U:44.86:9068778::,18:44.15:3751946:0.19:0,U:43.805:5976349:U:U,21:46.76:10832019:0.35:0,21:0:0:0.35:0
LYFT_120619P40,42:43.23:4860952:1.0:10,52:42.97:3843033:0.81:36,48:42.33:4275770:0.8:1,49:43.3:3993164:0.8:0,49:41.92:8868422:0.99:20,62:43.04:7367330:0.53:19,76:44.86:9068778:0.23:52,115:44.15:3751946:0.23:0,115:43.805:5976349:0.35:31,146:46.76:10832019:0.13:12,134:0:0:0.09:12
