Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
IRBT_112219C54,28:49.32:924324:0.36:0,28:49.24:771657:0.35:1,28:47.68:1372582:0.17:9,34:44.91:2058638:0.02:2,36:44.93:1354224:0.1:1,37:45.13:929609:0.1:55,U:46.68:1218471::,88:46.41:775660:0.05:2,88:273.0:891144:0.05:0,88:46.02:705222:0.05:0,U:46.51:683008:U:U
IRBT_112219C54.5,5:49.32:924324:0.27:6,11:49.24:771657:0.2:1,11:47.68:1372582:0.2:0,11:44.91:2058638:0.2:0,11:44.93:1354224:0.1:1,12:45.13:929609:0.1:1,U:46.68:1218471::,:46.41:775660:U:U,37:273.0:891144:0.07:0,U:46.02:705222:U:U,37:46.51:683008:0.01:6
IRBT_112219C55,18:49.32:924324:0.25:0,18:49.24:771657:0.2:1,19:47.68:1372582:0.2:0,19:44.91:2058638:0.05:1,19:44.93:1354224:0.05:0,19:45.13:929609:0.05:0,U:46.68:1218471::,:46.41:775660:U:U,U:273.0:891144:U:U,18:46.02:705222:0.1:0,18:46.51:683008:0.1:0
IRBT_112919C43,2:49.32:924324:8.6:0,2:49.24:771657:8.6:0,2:47.68:1372582:8.6:0,2:44.91:2058638:8.6:0,2:44.93:1354224:8.6:0,2:45.13:929609:8.6:0,2:46.68:1218471:8.6:0,2:46.41:775660:8.6:0,2:273.0:891144:8.6:0,U:46.02:705222:U:U,[2:46.51:683008:8.6:0
IRBT_112919C43.5,0:49.32:924324:0.0:0,0:49.24:771657:0.0:0,0:47.68:1372582:0.0:0,0:44.91:2058638:0.0:0,0:44.93:1354224:0.0:0,0:45.13:929609:0.0:0,0:46.68:1218471:0.0:0,0:46.41:775660:0.0:0,0:273.0:891144:0.0:0,0:46.02:705222:0.0:0,[0:46.51:683008:0.0:0
IRBT_112919C44,0:49.32:924324:0.0:0,0:49.24:771657:0.0:0,0:47.68:1372582:0.0:0,0:44.91:2058638:0.0:0,0:44.93:1354224:0.0:0,0:45.13:929609:2.5:2,2:46.68:1218471:2.45:2,0:46.41:775660:2.45:0,U:273.0:891144:U:U,2:46.02:705222:2.35:2,[2:46.51:683008:2.21:40
IRBT_112919C45,7:49.32:924324:5.35:0,7:49.24:771657:5.35:0,7:47.68:1372582:5.35:0,7:44.91:2058638:1.85:14,17:44.93:1354224:1.7:17,16:45.13:929609:1.65:5,18:46.68:1218471:1.8:4,19:46.41:775660:2.15:11,25:273.0:891144:1.47:3,U:46.02:705222:U:U,[26:46.51:683008:1.6:46
IRBT_112919C46,12:49.32:924324:4.9:0,12:49.24:771657:4.9:0,12:47.68:1372582:4.9:0,12:44.91:2058638:1.3:5,12:44.93:1354224:1.25:21,31:45.13:929609:1.25:0,31:46.68:1218471:1.6:19,20:46.41:775660:1.5:193,161:273.0:891144:1.4:9,154:46.02:705222:1.2:9,[161:46.51:683008:1.35:43
IRBT_112919C46.5,0:49.32:924324:0.0:0,0:49.24:771657:0.0:0,0:47.68:1372582:0.0:0,0:44.91:2058638:1.3:5,5:44.93:1354224:1.25:32,37:45.13:929609:1.15:32,37:46.68:1218471:1.6:7,37:46.41:775660:1.45:4,38:273.0:891144:1.55:3,U:46.02:705222:U:U,[49:46.51:683008:1.0:18
IRBT_112919C47,0:49.32:924324:0.0:0,0:49.24:771657:0.0:0,0:47.68:1372582:0.0:0,0:44.91:2058638:1.4:7,7:44.93:1354224:1.4:0,7:45.13:929609:0.82:2,9:46.68:1218471:1.15:69,76:46.41:775660:1.25:12,U:273.0:891144:U:U,84:46.02:705222:0.9:3,[86:46.51:683008:0.82:34
IRBT_112919C48,24:49.32:924324:2.65:2,24:49.24:771657:2.65:0,24:47.68:1372582:1.7:12,29:44.91:2058638:0.75:14,32:44.93:1354224:0.62:10,34:45.13:929609:0.65:5,34:46.68:1218471:1.0:9,40:46.41:775660:0.55:5,43:273.0:891144:0.5:6,50:46.02:705222:0.55:9,[59:46.51:683008:0.5:145
