Symbol,20191028,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
SAGE_112219P148,0:142.27,0:138.01,0:135.65,0.0,0:143.7,0:144.44,0:138.71,0:138.93:231450:0.0:0,0:144.34:332290:0.0:0,0:141.55:572910:0.0:0,0:144.05:335818:0.0:0,0:140.79:296213:0.0:0,0:146.32:302683:0.0:0,0:145.96:446497:0.0:0,70:151.52:572833:3.97:5,75:0:0:3.97:0,[75:149.0:278972:0.05:75
SAGE_112219P149,0:142.27,0:138.01,0:135.65,0.0,0:143.7,0:144.44,0:138.71,0:138.93:231450:0.0:0,0:144.34:332290:0.0:0,0:141.55:572910:0.0:0,0:144.05:335818:0.0:0,0:140.79:296213:0.0:0,0:146.32:302683:0.0:0,0:145.96:446497:0.0:0,0:151.52:572833:4.28:5,5:0:0:4.28:0,[5:149.0:278972:4.28:0
SAGE_112219P150,1:142.27,1:138.01,1:135.65,1.0,1:143.7,0:144.44,0:138.71,U:138.93:231450::,0:144.34:332290:14.91:0,0:141.55:572910:14.91:0,0:144.05:335818:14.91:0,0:140.79:296213:14.91:0,0:146.32:302683:14.91:0,0:145.96:446497:14.91:0,0:151.52:572833:4.5:5,5:0:0:4.5:0,[5:149.0:278972:1.5:1
SAGE_112219P152.5,0:142.27,0:138.01,0:135.65,0.0,0:143.7,0:144.44,0:138.71,0:138.93:231450:0.0:0,0:144.34:332290:0.0:0,0:141.55:572910:0.0:0,0:144.05:335818:0.0:0,0:140.79:296213:0.0:0,0:146.32:302683:0.0:0,0:145.96:446497:0.0:0,0:151.52:572833:0.0:0,0:0:0:3.1:1,[1:149.0:278972:4.0:1
SAGE_112219P155,0:142.27,0:138.01,0:135.65,0.0,0:143.7,0:144.44,0:138.71,0:138.93:231450:0.0:0,0:144.34:332290:0.0:0,0:141.55:572910:0.0:0,0:144.05:335818:0.0:0,0:140.79:296213:0.0:0,0:146.32:302683:0.0:0,0:145.96:446497:0.0:0,U:151.52:572833:U:U,0:0:0:0.0:0,[0:149.0:278972:0.0:0
SAGE_112919P133,0:142.27,0:138.01,0:135.65,0.0,0:143.7,0:144.44,0:138.71,0:138.93:231450:0.0:0,0:144.34:332290:0.0:0,0:141.55:572910:0.0:0,0:144.05:335818:0.0:0,0:140.79:296213:0.0:0,0:146.32:302683:6.7:3,U:145.96:446497::,4:151.52:572833:3.9:0,4:0:0:3.9:0,4:149.0:278972:3.9:0
SAGE_112919P134,0:142.27,0:138.01,0:135.65,0.0,0:143.7,0:144.44,0:138.71,0:138.93:231450:0.0:0,0:144.34:332290:0.0:0,0:141.55:572910:0.0:0,0:144.05:335818:0.0:0,0:140.79:296213:0.0:0,0:146.32:302683:0.0:0,0:145.96:446497:0.0:0,0:151.52:572833:0.0:0,0:0:0:0.0:0,0:149.0:278972:0.0:0
SAGE_112919P135,0:142.27,0:138.01,0:135.65,0.0,0:143.7,0:144.44,0:138.71,0:138.93:231450:0.0:0,0:144.34:332290:0.0:0,0:141.55:572910:0.0:0,0:144.05:335818:0.0:0,0:140.79:296213:0.0:0,0:146.32:302683:0.0:0,U:145.96:446497::,U:151.52:572833:U:U,0:0:0:0.0:0,0:149.0:278972:3.38:10
SAGE_112919P136,0:142.27,0:138.01,0:135.65,0.0,0:143.7,0:144.44,0:138.71,0:138.93:231450:0.0:0,0:144.34:332290:0.0:0,0:141.55:572910:0.0:0,0:144.05:335818:0.0:0,0:140.79:296213:0.0:0,0:146.32:302683:0.0:0,0:145.96:446497:0.0:0,U:151.52:572833:U:U,0:0:0:0.0:0,0:149.0:278972:0.0:0
SAGE_112919P137,0:142.27,0:138.01,0:135.65,0.0,0:143.7,0:144.44,0:138.71,0:138.93:231450:0.0:0,0:144.34:332290:0.0:0,0:141.55:572910:0.0:0,0:144.05:335818:0.0:0,0:140.79:296213:0.0:0,0:146.32:302683:0.0:0,0:145.96:446497:0.0:0,U:151.52:572833:U:U,0:0:0:0.0:0,0:149.0:278972:0.0:0
