Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
UBER_112219P31.5,196:27.01:44941622:4.25:2,196:27.14:41300937:4.49:2,195:26.7:32448063:4.8:3,193:26.71:33124982:4.8:0,190:25.99:27991933:4.8:0,182:26.79:41353173:4.9:20,190:26.75:37309667:4.9:0,88:28.03:52741127:3.5:2,86:29.46:55638958:2.17:20,[76:29.56:44372725:1.93:2
UBER_112219P32,364:27.01:44941622:4.8:30,364:27.14:41300937:4.8:0,364:26.7:32448063:4.5:1,363:26.71:33124982:5.8:5,227:25.99:27991933:6.0:1,205:26.79:41353173:6.0:0,205:26.75:37309667:6.0:0,9:28.03:52741127:4.1:1,9:29.46:55638958:4.1:0,[9:29.56:44372725:4.1:0
UBER_112919P22.5,38:27.01:44941622:0.07:36,71:27.14:41300937:0.05:2,71:26.7:32448063:0.05:10,71:26.71:33124982:0.05:0,71:25.99:27991933:0.1:1,71:26.79:41353173:0.1:0,71:26.75:37309667:0.1:0,71:28.03:52741127:0.1:0,71:29.46:55638958:0.1:0,71:29.56:44372725:0.1:0
UBER_112919P23,292:27.01:44941622:0.07:9,298:27.14:41300937:0.1:7,305:26.7:32448063:0.07:1,306:26.71:33124982:0.07:0,306:25.99:27991933:0.1:4,305:26.79:41353173:0.07:93,391:26.75:37309667:0.05:21,412:28.03:52741127:0.03:1,412:29.46:55638958:0.03:0,412:29.56:44372725:0.03:0
UBER_112919P23.5,55:27.01:44941622:0.15:4,59:27.14:41300937:0.1:5,59:26.7:32448063:0.1:11,70:26.71:33124982:0.1:3,72:25.99:27991933:0.15:164,231:26.79:41353173:0.08:3,234:26.75:37309667:0.05:11,246:28.03:52741127:0.01:2,245:29.46:55638958:0.01:0,245:29.56:44372725:0.02:1
UBER_112919P24,248:27.01:44941622:0.15:60,220:27.14:41300937:0.15:29,240:26.7:32448063:0.15:13,234:26.71:33124982:0.15:32,234:25.99:27991933:0.2:171,339:26.79:41353173:0.1:67,343:26.75:37309667:0.07:21,361:28.03:52741127:0.03:21,351:29.46:55638958:0.03:0,351:29.56:44372725:0.01:2
UBER_112919P24.5,1695:27.01:44941622:0.24:11,1695:27.14:41300937:0.3:11,1696:26.7:32448063:0.3:0,1696:26.71:33124982:0.2:6,1699:25.99:27991933:0.34:134,1748:26.79:41353173:0.17:38,1744:26.75:37309667:0.1:32,1775:28.03:52741127:0.03:5,1776:29.46:55638958:0.03:1,1775:29.56:44372725:0.05:30
UBER_112919P25,1339:27.01:44941622:0.32:2605,3791:27.14:41300937:0.33:38,3792:26.7:32448063:0.31:124,3899:26.71:33124982:0.32:3560,6747:25.99:27991933:0.47:3791,10293:26.79:41353173:0.24:253,10291:26.75:37309667:0.25:276,10286:28.03:52741127:0.05:177,10299:29.46:55638958:0.01:66,[10326:29.56:44372725:0.03:352
UBER_112919P25.5,236:27.01:44941622:0.45:8,233:27.14:41300937:0.45:67,271:26.7:32448063:0.45:27,279:26.71:33124982:0.45:894,976:25.99:27991933:0.62:111,965:26.79:41353173:0.4:53,964:26.75:37309667:0.3:202,1215:28.03:52741127:0.07:44,1215:29.46:55638958:0.03:80,[1210:29.56:44372725:0.04:10
UBER_112919P26,730:27.01:44941622:0.54:31,724:27.14:41300937:0.6:165,705:26.7:32448063:0.6:71,714:26.71:33124982:0.61:64,757:25.99:27991933:0.85:169,758:26.79:41353173:0.53:111,797:26.75:37309667:0.45:172,981:28.03:52741127:0.14:114,1009:29.46:55638958:0.05:67,[986:29.56:44372725:0.05:16
